  11 the	general	form	of
   2 the	strategy-based	instructional	framework
   2 the	strategy	was	necessary
   2 the	strategy	make	organizations
   2 the	strategy	group	had
   2 the	strategy	group	did
   2 the	second	step	of
   2 the	same	amount	of
   2 the	role	of	the
   2 the	robustness	of	the
   2 the	results	showed	that
   2 the	proportion	of	strategy
   2 the	posttest	for	25
   2 the	opportunity	to	use
   2 the	notion	of	guided
   2 the	need	to	teach
   2 the	mean	proportion	of
   2 the	last	list	to
   2 the	instructional	framework	could
   2 the	instructional	design	in
   2 the	frequencies	in	each
   2 the	following	research	question
   2 the	first	column	of
   2 the	existing	cmu	course
   2 the	effective	and	efficient
   2 the	context	of	simple
   2 the	contents	of	a
   2 the	conditions	under	which
   2 the	computer	is	useful
   2 the	commands	to	use
   2 the	acquisition	of	command
   2 the	above	strategy	in
   2 that	users	might	benefit
   2 that	the	split	window
   2 that	the	course	be
   2 that	specified	the	general
   2 that	need	to	be
   2 that	most	of	the
   2 that	many	users	do
   2 that	includes	knowledge	of
   2 that	conspire	against	users
   2 than	the	command	group
   2 tested	only	command	knowledge
   2 tested	for	an	overall
   2 technical	and	nontechnical	majors
   2 teaching	users	how	to
   2 teaching	the	general	form
   2 teaching	guides	for	the
   2 teaching	application-general	strategic	knowledge
   2 teach	the	knowledge	components
   2 teach	the	general	strategies
   2 teach	effective	and	efficient
   2 taught	the	general	form
   2 taught	in	its	general
   2 such	as	spreadsheets	and
   2 students	who	were	taught
   2 students	included	organizing	information
   2 students	from	the	strategy
   2 students	at	the	university
   2 strategy-based	instructional	approach	help
   2 strategy	was	necessary	for
   2 strategy	opportunities	used	by
   2 strategy	make	organizations	known
   2 strategy	is	taught	in
   2 strategy	group	mean	proportion
   2 strategy	group	in	the
   2 strategy	group	did	significantly
   2 strategy	and	instructional	frameworks
   2 strategies	bhavnani	and	john
   2 strategic	use	of	computer
   2 strategic	knowledge	was	guided
   2 strategic	knowledge	our	approach
   2 strategic	knowledge	e	g
   2 step	of	our	analysis
   2 spreadsheets	and	web-authoring	tools
   2 small	set	of	commands
   2 significant	difference	between	the
   2 shown	that	many	users
   2 several	studies	have	shown
   2 second	step	of	our
   2 scroll	up	and	down
   2 same	amount	of	time
   2 role	of	the	general
   2 robustness	of	the	instructional
   2 research	on	strategy-based	instruction
   2 required	the	students	to
   2 required	more	instruction	than
   2 required	by	all	students
   2 requested	to	participate	in
   2 requested	that	the	course
   2 recognized	the	opportunity	to
   2 recognize	opportunities	to	use
   2 reasons	that	conspire	against
   2 proportion	of	strategy	opportunities
   2 proportion	of	strategies	used
   2 propagation	organization	and	visualization
   2 pointing	it	out	in
   2 performed	a	two-step	analysis
   2 perform	the	task	was
   2 participate	in	the	posttest
   2 overall	effect	by	analyzing
   2 over	five	years	to
   2 out	in	the	handout
   2 our	research	on	strategy-based
   2 our	approach	to	teaching
   2 organizing	information	related	to
   2 organizations	known	to	the
   2 opportunities	used	by	each
   2 on	the	frequencies	in
   2 of	when	to	use
   2 of	the	strategy	was
   2 of	the	strategy	view
   2 of	the	strategy	opportunities
   2 of	the	split	window
   2 of	the	original	authors
   2 of	the	general	form
   2 of	the	existence	of
   2 of	the	commands	and
   2 of	technology	e	g
   2 of	strategy-based	instruction	on
   2 of	strategy	opportunities	used
   2 of	strategies	used	was
   2 of	computer	applications	iteration
   2 of	computer	applications	1
   2 of	commands	where	the
   2 of	a	table	in
   2 of	a	strategy-based	instructional
   2 notion	of	guided	discovery
   2 no	statistically	significant	difference
   2 need	to	know	what
   2 need	to	be	taught
   2 more	instruction	than	we
   2 more	difficult	to	detect
   2 minimal	involvement	of	the
   2 mean	proportion	of	strategies
   2 many	users	do	not
   2 many	reasons	that	conspire
   2 make	organizations	known	to
   2 list	to	the	third
   2 led	to	the	following
   2 learned	in	teaching	the
   2 learn	how	to	use
   2 last	list	to	the
   2 knowledge	that	includes	knowledge
   2 knowledge	our	approach	to
   2 knowledge	of	the	existence
   2 knowing	how	to	use
   2 know	what	they	are
   2 just	by	learning	commands
   2 just	by	knowing	commands
   2 iteration	propagation	organization	and
   2 items	from	the	last
   2 it	can	be	used
   2 is	useful	in	a
   2 is	taught	in	its
   2 involvement	of	the	original
   2 instructional	approach	help	the
   2 inferring	that	a	user
   2 includes	knowledge	of	the
   2 included	organizing	information	related
   2 in	which	they	were
   2 in	the	same	amount
   2 in	the	class	were
   2 in	table	ii	the
   2 in	its	general	form
   2 in	goms	terms	there
   2 in	a	wide	range
   2 in	a	spreadsheet	can
   2 implemented	the	notion	of
   2 implementation	evaluation	and	dissemination
   2 if	the	general	form
   2 identified	a	framework	to
   2 hypothesized	that	users	might
   2 how	well	the	strategies
   2 how	to	use	the
   2 how	to	use	basic
   2 how	to	design	and
   2 how	best	to	teach
   2 holyoak	1989	fong	et
   2 have	shown	that	many
   2 have	difficulty	in	acquiring
   2 harming	the	acquisition	of
   2 group	the	mean	proportion
   2 group	mean	proportion	72
   2 group	did	significantly	better
   2 goms	terms	there	must
   2 goal	led	to	the
   2 gick	and	holyoak	1983
   2 general	powers	of	computers
   2 general	functions	or	powers
   2 general	form	of	a
   2 g	the	existence	of
   2 furthermore	we	learned	that
   2 from	the	strategy	group
   2 from	the	last	list
   2 from	the	command	group
   2 framework	that	specified	the
   2 form	of	a	strategy
   2 for	using	computer	applications
   2 for	the	strategy	group
   2 for	example	the	instructor
   2 for	an	overall	effect
   2 fong	et	al	1986
   2 first	need	to	know
   2 faculty	requested	that	the
   2 extension	to	a	new
   2 extended	to	new	applications
   2 explore	how	well	the
   2 exam	required	by	all
   2 efficient	in	the	use
   2 effect	by	analyzing	the
   2 each	student	in	the
   2 e	g	the	existence
   2 document	by	using	the
   2 divide	the	window	into
   2 discussed	in	section	2
   2 did	not	teach	the
   2 detect	characteristics	of	a
   2 despite	many	years	of
   2 design	implementation	evaluation	and
   2 demonstration	and	practice	examples
   2 could	be	extended	to
   2 context	of	simple	tasks
   2 contents	of	a	table
   2 conditions	under	which	a
   2 conditions	of	when	to
   2 computer	is	useful	in
   2 computer	applications	such	as
   2 computer	applications	iteration	propagation
   2 commands	where	the	students
   2 can	be	linked	to
   2 can	be	achieved	by
   2 by	teaching	the	general
   2 by	pointing	it	out
   2 by	each	student	in
   2 by	analyzing	the	proportion
   2 bossock	and	holyoak	1989
   2 bhavnani	et	al	2001
   2 bhavnani	and	john	1998
   2 because	the	strategies	were
   2 at	the	university	of
   2 as	spreadsheets	and	web-authoring
   2 as	discussed	in	section
   2 approach	in	a	new
   2 approach	called	strategy-based	instruction
   2 applications	such	as	spreadsheets
   2 applications	iteration	propagation	organization
   2 applications	bhavnani	and	john
   2 and	then	balanced	by
   2 and	the	instructional	framework
   2 and	relevant	to	the
   2 and	holyoak	1989	fong
   2 and	efficient	in	the
   2 analyzing	the	proportion	of
   2 an	overall	effect	by
   2 amount	of	time	as
   2 acquisition	of	command	knowledge
   2 acquired	just	by	learning
   2 acquire	efficient	and	effective
   2 a	typical	student	in
   2 a	strategy-based	instructional	framework
   2 a	strategy	is	useful
   2 a	strategy	framework	that
   2 a	strategy	and	the
   2 a	spreadsheet	can	be
   2 a	small	set	of
   2 a	new	application	and
   2 a	list	of	commands
   2 a	goms	analysis	of
   2 a	chi-square	test	on
   2 1989	fong	et	al
   1 zoom	use	could	also
   1 zoom	often	leads	users
   1 zoom	all	the	commands
   1 yinger	1987	this	balance
   1 yielded	42	of	the
   1 yielded	25	students	in
   1 yielded	18	and	20
   1 yielded	17	students	from
   1 years	to	almost	400
   1 years	to	1	develop
   1 years	through	teaching	almost
   1 years	researchers	have	stressed
   1 years	of	research	related
   1 years	of	experience	using
   1 years	of	experience	in
   1 years	of	experience	and
   1 years	in	a	spreadsheet
   1 years	and	with	research
   1 years	and	therefore	had
   1 written	instructions	to	graduate
   1 written	descriptions	for	example
   1 would	use	the	commands
   1 would	provide	brief	online
   1 would	not	be	compelling
   1 would	not	affect	their
   1 would	move	3	nonadjacent
   1 would	have	difficulty	in
   1 would	display	at	all
   1 would	be	used	to
   1 would	also	like	to
   1 world	contexts	national	research
   1 work	environments	bhavnani	et
   1 words	to	be	used
   1 words	graphics	formulas	we
   1 word	to	test	the
   1 word	to	efficiently	and
   1 word	processors	rosson	1983
   1 word	processors	in	the
   1 word	processor	in	the
   1 word	processing	document	to
   1 word	on	a	page
   1 word	and	excel	one
   1 word	and	excel	is
   1 word	and	excel	4
   1 without	the	command	knowledge
   1 without	harming	command	knowledge
   1 without	altering	its	content
   1 without	also	teaching	commands
   1 within	the	university	of
   1 within	msword	we	did
   1 within	an	application	conditions
   1 within	an	application	as
   1 with	very	little	technical
   1 with	two	different	populations
   1 with	the	user	to
   1 with	the	traditional	approach
   1 with	the	teaching	of
   1 with	the	students	our
   1 with	the	modifications	discussed
   1 with	the	interface	we
   1 with	the	inefficient	method
   1 with	the	experiments	at
   1 with	the	existing	research
   1 with	the	design	of
   1 with	the	computers	the
   1 with	the	commands	to
   1 with	the	cmu-2	data
   1 with	the	arts	faculty
   1 with	the	art	students
   1 with	tasks	and	instructions
   1 with	strategy-based	instruction	that
   1 with	strategies	might	have
   1 with	science	and	engineering
   1 with	research	questions	that
   1 with	reflections	on	our
   1 with	operators	to	execute
   1 with	online	intelligent	help
   1 with	non-technical	majors	2
   1 with	more	extensive	transfer
   1 with	minimal	effort	our
   1 with	many	well-designed	pages
   1 with	many	short	bulleted
   1 with	less	control	because
   1 with	files	msword	to
   1 with	exceptions	this	method
   1 with	examples	that	are
   1 with	earlier	research	on
   1 with	different	examples	because
   1 with	different	computer	applications
   1 with	different	commands	had
   1 with	commands	is	too
   1 with	commands	a	critical
   1 with	both	technical	and
   1 with	art	students	um-1
   1 with	appropriate	demonstration	and
   1 with	an	exception	an
   1 with	a	wide	range
   1 with	a	population	of
   1 with	a	new	task
   1 with	a	new	population
   1 with	a	different	population
   1 with	a	demonstration	of
   1 wished	to	investigate	how
   1 wished	to	identify	strategies
   1 wished	to	explore	how
   1 window	to	perform	the
   1 window	scroll	and	new
   1 window	or	new	window
   1 window	command	the	students
   1 window	command	such	ambiguity
   1 window	command	necessary	to
   1 window	command	its	location
   1 window	command	in	neither
   1 window	command	can	divide
   1 window	command	available	in
   1 window	command	and	when
   1 window	before	moving	the
   1 window	and	zoom	all
   1 window	and	then	given
   1 window	and	scroll	the
   1 will	reveal	robustness	of
   1 will	help	achieve	our
   1 widths	one-by-one	in	order
   1 widths	and	then	modify
   1 width	this	method	avoids
   1 width	of	several	adjacent
   1 width	of	each	column
   1 wide	range	of	tasks
   1 wide	range	of	similar
   1 wide	range	of	higher-level
   1 wide	range	of	effective
   1 wide	range	of	domains
   1 wide	range	of	computer
   1 why	two	sets	of
   1 why	do	many	other
   1 whose	organization	may	not
   1 whom	were	undergraduate	students
   1 who	were	trained	to
   1 who	were	taught	only
   1 who	were	taught	all
   1 who	were	hired	to
   1 who	opted	to	take
   1 who	had	experience	in
   1 who	had	difficulty	following
   1 who	did	not	take
   1 who	already	have	a
   1 while	we	taught	how
   1 while	we	have	focused
   1 while	we	have	experimented
   1 while	this	research	provides
   1 while	this	first	step
   1 while	there	has	been
   1 while	the	strategies	themselves
   1 while	the	goms	modeling
   1 while	such	teaching	guides
   1 while	some	users	do
   1 while	several	studies	had
   1 while	our	overall	approach
   1 while	others	required	more
   1 while	much	research	has
   1 while	most	users	can
   1 while	many	cognitive	cultural
   1 while	it	is	easy
   1 while	for	the	strategy
   1 while	a	user	might
   1 while	a	typical	student
   1 which	were	collected	in
   1 which	were	checked	before
   1 which	were	based	on
   1 which	was	then	evaluated
   1 which	they	were	assessed
   1 which	they	were	asked
   1 which	they	explained	how
   1 which	the	arts	faculty
   1 which	tested	only	command
   1 which	some	strategies	are
   1 which	show	that	under
   1 which	results	in	users
   1 which	recorded	the	computer
   1 which	produce	clearly	inappropriate
   1 which	of	two	pairs
   1 which	have	reported	that
   1 which	has	shown	that
   1 which	evaluated	the	robustness
   1 which	demonstrated	the	use
   1 which	could	lead	to
   1 which	consisted	of	unix
   1 which	consisted	of	a
   1 which	best	motivated	the
   1 which	are	used	by
   1 which	are	merely	non-optimal
   1 which	are	difficult	to
   1 whether	the	strategy	instruction
   1 whether	the	strategy	framework
   1 whether	the	strategy	and
   1 whether	the	instructional	framework
   1 whether	strategic	knowledge	could
   1 whether	or	not	they
   1 whether	or	not	students
   1 whereby	students	are	made
   1 where	we	attempted	to
   1 where	they	were	asked
   1 where	the	students	watched
   1 where	the	students	performed
   1 where	the	students	could
   1 where	the	performance	gains
   1 where	the	original	authors
   1 where	possible	we	used
   1 where	possible	be	complemented
   1 where	all	these	students
   1 whenever	there	was	any
   1 when	we	first	conducted
   1 when	used	in	a
   1 when	used	for	complex
   1 when	two	information	objects
   1 when	to	use	those
   1 when	to	use	this
   1 when	to	use	the
   1 when	to	use	more
   1 when	to	use	it
   1 when	to	divide	the
   1 when	time	is	not
   1 when	they	are	used
   1 when	they	are	taught
   1 when	the	strategy	is
   1 when	the	specification	is
   1 when	the	detection	is
   1 when	the	contents	are
   1 when	the	commands	to
   1 when	taught	in	a
   1 when	students	construct	knowledge
   1 when	implemented	in	a
   1 when	best	to	use
   1 when	and	how	to
   1 when	a	strategy	is
   1 whatever	the	medium	and
   1 what	to	teach	it
   1 what	they	are	while
   1 what	they	are	unfortunately
   1 what	makes	certain	strategy
   1 western	australia	4	lessons
   1 were	using	cad	systems
   1 were	useful	for	students
   1 were	used	to	check
   1 were	undergraduate	students	at
   1 were	unable	to	test
   1 were	trained	to	teach
   1 were	too	abstract	without
   1 were	tightly	integrated	into
   1 were	therefore	carefully	designed
   1 were	then	told	to
   1 were	then	summarized	by
   1 were	then	given	the
   1 were	taught	only	command
   1 were	taught	by	undergraduate
   1 were	taught	application-specific	strategies
   1 were	taught	all	the
   1 were	summarized	step	4
   1 were	successful	in	extending
   1 were	spaced	out	in
   1 were	similar	to	those
   1 were	significant	in	msexcel
   1 were	shown	how	to
   1 were	shown	how	they
   1 were	shown	a	long
   1 were	robust	in	the
   1 were	retained	over	time
   1 were	requested	to	take
   1 were	repeated	for	other
   1 were	repeated	for	each
   1 were	relevant	to	these
   1 were	relevant	and	motivating
   1 were	randomly	divided	into
   1 were	randomly	assigned	across
   1 were	presented	with	tasks
   1 were	not	using	effective
   1 were	no	significant	differences
   1 were	instructed	to	save
   1 were	instantiated	in	dreamweaver
   1 were	informed	that	their
   1 were	important	for	the
   1 were	identical	to	those
   1 were	hired	to	teach
   1 were	given	teaching	guides
   1 were	given	isomorphs	of
   1 were	given	immediately	after
   1 were	given	credit	for
   1 were	given	a	binary
   1 were	general	across	applications
   1 were	double-checked	in	another
   1 were	divided	into	two
   1 were	designed	to	take
   1 were	designed	based	on
   1 were	considered	to	be
   1 were	collected	in	word
   1 were	collected	as	part
   1 were	collected	5	exam
   1 were	checked	before	the
   1 were	based	on	an
   1 were	assessed	as	discussed
   1 were	asked	to	locate
   1 were	asked	to	explain
   1 were	asked	to	describe
   1 were	asked	how	they
   1 were	appropriate	to	teach
   1 were	able	to	instantiate
   1 were	13	opportunities4	shown
   1 well-suited	for	the	transfer
   1 well-designed	pages	each	of
   1 well-designed	interfaces	while	we
   1 well	the	students	in
   1 well	the	strategies	were
   1 well	the	strategies	transfer
   1 weeded	out	productions	that
   1 website	appendix	a	shows
   1 website	and	publish	website
   1 web-authoring	tools	while	many
   1 web-authoring	tools	strategy-based	instruction
   1 web-authoring	application	3	at
   1 web	sites	that	have
   1 web	site	with	many
   1 web	site	where	the
   1 web	site	that	was
   1 web	site	designers	to
   1 web	page	appendix	d
   1 web	bhavnani	2001	and
   1 we	would	also	like
   1 we	wished	to	identify
   1 we	were	unable	to
   1 we	were	successful	in
   1 we	were	able	to
   1 we	used	computational	methods
   1 we	therefore	present	the
   1 we	therefore	designed	the
   1 we	tested	whether	strategic
   1 we	tested	for	transfer
   1 we	tested	each	strategy
   1 we	teach	powerpoint	in
   1 we	taught	we	believe
   1 we	taught	the	same
   1 we	taught	how	to
   1 we	should	attempt	to
   1 we	refer	to	such
   1 we	received	requests	from
   1 we	provided	however	because
   1 we	performed	the	second
   1 we	now	describe	how
   1 we	need	to	better
   1 we	learned	that	applications
   1 we	learned	that	an
   1 we	learned	that	a
   1 we	identified	a	framework
   1 we	have	learned	lessons
   1 we	have	found	no
   1 we	have	focused	on
   1 we	have	explored	could
   1 we	have	explored	approaches
   1 we	have	experimented	with
   1 we	have	come	to
   1 we	have	abstracted	and
   1 we	had	to	make
   1 we	had	the	opportunity
   1 we	had	chosen	to
   1 we	found	no	systematic
   1 we	followed	a	three-step
   1 we	focused	on	the
   1 we	first	conducted	an
   1 we	explored	the	explicit
   1 we	exploited	existing	educational
   1 we	expected	the	results
   1 we	employed	a	graphic
   1 we	did	not	teach
   1 we	did	not	have
   1 we	designed	the	instruction
   1 we	designed	an	instructional
   1 we	decided	to	teach
   1 we	decided	to	model
   1 we	decided	to	focus
   1 we	created	handouts	to
   1 we	conducted	two	experiments
   1 we	conducted	an	experiment
   1 we	conclude	with	reflections
   1 we	collected	and	analyzed
   1 we	believe	this	is
   1 we	believe	this	argument
   1 we	believe	that	such
   1 we	believe	that	our
   1 we	believe	that	it
   1 we	believe	our	instructional
   1 we	attempted	to	first
   1 we	asked	the	question
   1 we	are	also	exploring
   1 we	analyzed	each	of
   1 we	also	wished	to
   1 we	also	used	this
   1 we	also	did	not
   1 we	1	identified	a
   1 we	1	explicitly	taught
   1 ways	to	view	a
   1 way	to	teach	strategies
   1 way	to	perform	this
   1 way	to	perform	the
   1 watched	the	instructor	execute
   1 was	voluntary	students	were
   1 was	very	high	and
   1 was	used	to	encourage
   1 was	true	for	all
   1 was	to	split	the
   1 was	to	scroll	up
   1 was	to	provide	assistance
   1 was	to	first	teach
   1 was	to	avoid	having
   1 was	to	analyze	whether
   1 was	tightly	integrated	the
   1 was	then	evaluated	in
   1 was	the	strategy-based	instructional
   1 was	the	same	in
   1 was	tested	in	a
   1 was	taught	only	the
   1 was	taught	in	two
   1 was	taught	command	knowledge
   1 was	statistically	significant	based
   1 was	spent	teaching	both
   1 was	spent	on	teaching
   1 was	small	this	suggests
   1 was	similar	to	cmu-1
   1 was	significantly	higher	in
   1 was	robust	in	a
   1 was	retained	even	after
   1 was	passive	it	enabled
   1 was	particularly	useful	for
   1 was	not	taught	as
   1 was	not	motivating	for
   1 was	not	investigated	in
   1 was	not	considered	an
   1 was	no	time	limit
   1 was	necessary	for	transferring
   1 was	necessary	for	transfer
   1 was	necessary	for	its
   1 was	necessary	because	msword
   1 was	motivating	and	relevant
   1 was	instantiated	in	dreamweaver
   1 was	in	designing	the
   1 was	important	to	teach
   1 was	implemented	as	a
   1 was	identical	to	the
   1 was	high	in	both
   1 was	guided	by	two
   1 was	guided	by	research
   1 was	guided	by	previous
   1 was	given	the	same
   1 was	given	only	command
   1 was	given	in	a
   1 was	generalized	to	view
   1 was	generalized	to	the
   1 was	further	verified	in
   1 was	followed	by	instruction
   1 was	followed	by	application-specific
   1 was	extended	to	teach
   1 was	expected	because	with
   1 was	excluded	from	the
   1 was	done	in	consultation
   1 was	disseminated	to	another
   1 was	discussed	and	demonstrated
   1 was	different	in	content
   1 was	different	from	the
   1 was	developed	through	a
   1 was	designed	to	test
   1 was	designed	to	address
   1 was	conducted	with	science
   1 was	conducted	with	a
   1 was	conducted	one	month
   1 was	complete	the	above
   1 was	called	the	command
   1 was	because	while	it
   1 was	attempting	to	compare
   1 was	assessed	by	first
   1 was	any	chance	for
   1 was	also	informed	by
   1 was	added	for	teaching
   1 was	achieved	by	teaching
   1 was	achieved	by	providing
   1 was	abstracted	to	the
   1 was	a	small	drop
   1 was	a	significant	difference
   1 was	68	58	sd
   1 was	42	66	sd
   1 warrants	the	strategy	and
   1 voluntary	students	were	requested
   1 visualization	strategies	exploit	the
   1 visualization	in	addition	to
   1 visualization	2	the	first
   1 virtually	identical	5	reflections
   1 views	e	g	through
   1 viewed	simultaneously	on	the
   1 view	of	the	data
   1 view	a	document	such
   1 view	a	document	in
   1 videos	which	recorded	the
   1 videos	this	confirmation	was
   1 video	or	the	written
   1 vi	in	appendix	e
   1 very	little	technical	background
   1 very	high	and	that
   1 very	different	usage	profiles
   1 versions	of	the	course
   1 verified	in	our	early
   1 varied	in	the	amount
   1 value	to	the	user
   1 utility	of	the	strategybased
   1 utility	of	other	strategies
   1 usually	comes	at	the
   1 using	the	styles	command
   1 using	the	split-window	command
   1 using	the	notion	of
   1 using	the	msword	style
   1 using	the	insert	table
   1 using	the	commands	they
   1 using	the	command	2
   1 using	the	chosen	commands
   1 using	that	method	finally
   1 using	tabs	to	construct
   1 using	such	objects	as
   1 using	suboptimal	methods	e
   1 using	strategy-based	instruction	in
   1 using	strategies	this	was
   1 using	spaces	to	center
   1 using	new	window	and
   1 using	more	effective	strategies
   1 using	inefficient	and	ineffective
   1 using	helpful	strategies	despite
   1 using	effective	and	efficient
   1 using	computer	applications	include
   1 using	computer	applications	for
   1 using	computer	applications	bhavnani
   1 using	cad	systems	to
   1 using	a	new	population
   1 uses	of	technology	e
   1 users	to	spontaneously	discover
   1 users	to	propagate	changes
   1 users	to	fit	poorly
   1 users	to	become	disoriented
   1 users	to	acquire	strategic
   1 users	to	acquire	many
   1 users	these	two	frameworks
   1 users	should	be	explicitly
   1 users	performing	real-world	tasks
   1 users	perform	a	task
   1 users	need	to	be
   1 users	more	effective	and
   1 users	modified	the	column
   1 users	might	benefit	from
   1 users	might	benefit	by
   1 users	in	many	organizations
   1 users	in	acquiring	a
   1 users	had	few	problems
   1 users	focusing	on	the
   1 users	effective	and	efficient
   1 users	do	in	fact
   1 users	discovering	and	using
   1 users	can	easily	learn
   1 users	becoming	more	effective
   1 users	because	the	observed
   1 users	aware	of	the
   1 users	as	shown	by
   1 users	are	more	likely
   1 users	are	likely	to
   1 users	are	expected	to
   1 users	acquiring	efficient	and
   1 users	4	3	strategies
   1 user	when	to	use
   1 user	was	attempting	to
   1 user	to	resolve	the
   1 user	through	instruction	we
   1 user	these	preferred	methods
   1 user	therefore	strategies	are
   1 user	tests	of	systems
   1 user	s	goal	they
   1 user	must	recognize	specific
   1 user	must	learn	to
   1 user	modifying	each	column
   1 user	might	need	to
   1 user	might	learn	from
   1 user	manuals	either	focus
   1 user	it	is	therefore
   1 user	is	manually	creating
   1 user	educational	field	experiments
   1 user	can	create	paragraphs
   1 user	actions	and	then
   1 useful	to	develop	a
   1 useful	singley	and	anderson
   1 useful	in	word	processors
   1 useful	in	large	documents
   1 useful	in	a	word
   1 useful	in	a	wide
   1 useful	for	the	michigan
   1 useful	for	students	to
   1 useful	for	a	wide
   1 useful	and	3	the
   1 useful	across	applications	using
   1 used	was	68	58
   1 used	was	42	66
   1 used	to	teach	their
   1 used	to	teach	computer
   1 used	to	scroll	through
   1 used	to	implement	and
   1 used	to	implement	a
   1 used	to	identify	efficient
   1 used	to	identify	an
   1 used	to	encourage	active
   1 used	to	deal	with
   1 used	to	check	whether
   1 used	to	analyze	the
   1 used	those	commands	this
