  10 than	or	equal	to
   1 used	for	performing	classification
   1 used	for	analysis	with
   1 used	classification	to	infer
   1 used	by	diverse	learners
   1 used	by	both	fielddependent
   1 used	by	a	diverse
   1 used	both	to	understand
   1 use	their	own	internal
   1 use	the	menu	more
   1 use	the	map	field-dependent
   1 use	the	main	menu
   1 use	the	hierarchical	map
   1 use	the	alphabetical	index
   1 use	of	salient	cues
   1 use	of	instructional	materials
   1 use	of	instruction	technology
   1 use	of	externally	developed
   1 use	of	a	specific
   1 use	data	mining	to
   1 use	clustering	and	classification
   1 use	an	internal	frame
   1 use	a	pop-up	window
   1 use	a	global	approach
   1 usage	of	instructional	technology
   1 usage	data	the	k-means
   1 usage	data	because	it
   1 usage	data	another	advantage
   1 usability	and	functionality	of
   1 updating	of	the	material
   1 until	the	size	of
   1 until	a	stopping	criterion
   1 unrelated	information	is	displayed
   1 unlikely	that	there	is
   1 unlike	field-independent	and	field-dependent
   1 university	web-based	instruction	wbi
   1 university	this	section	describes
   1 university	library	a	number
   1 university	a	request	was
   1 unique	needs	of	each
   1 unexpected	relationships	patterns	and
   1 unexpected	but	valuable	patterns
   1 undertaken	with	a	larger
   1 understood	mertik	et	al
   1 understandings	this	approach	is
   1 understanding	of	the	importance
   1 understanding	and	a	simple
   1 understandable	rules	ding	et
   1 understand	the	differences	in
   1 understand	or	even	visualize
   1 understand	how	they	work
   1 understand	existing	data	and
   1 underpinned	by	considerations	of
   1 underlying	grid	layout	which
   1 uncovering	unanticipated	trends	correlations
   1 uncover	relationships	and	patterns
   1 unanticipated	trends	correlations	or
   1 uk	university	this	section
   1 uk	university	a	request
   1 typically	a	decision	tree
   1 typical	mode	of	perceiving
   1 types	of	tasks	based
   1 types	of	overview	a
   1 types	of	learner	control
   1 type	of	design	argues
   1 two	variables	stephen	and
   1 two	types	of	overview
   1 two	techniques	is	that
   1 two	techniques	are	complementary
   1 two	subtests	have	different
   1 two	subtests	figure	2
   1 two	steps	are	alternated
   1 two	phases	held	on
   1 two	or	more	subsets
   1 two	methods	that	is
   1 two	marked	response	keys
   1 two	frames	the	hierarchical
   1 two	child	nodes	some
   1 two	attributes	that	is
   1 two	are	related	to
   1 two	analyses	for	two
   1 tv	program	selections	and
   1 tutorial	providing	referenced	links
   1 turns	et	al	2000
   1 turn	might	produce	insufficient
   1 turn	may	lead	to
   1 tukey	test	showed	significance
   1 tukey	test	analyses	also
   1 tukey	1977	is	concerned
   1 trying	different	values	for
   1 triangle	and	a	complex
   1 trends	correlations	or	patterns
   1 trends	--cluster	0	c0
   1 trees	with	which	rules
   1 trees	where	each	split
   1 trees	the	k-means	algorithm
   1 trees	is	selected	to
   1 trees	have	been	widely
   1 trees	classification	given	any
   1 trees	can	provide	effective
   1 trees	can	easily	be
   1 trees	c	rt	breiman
   1 trees	are	classification	regression
   1 tree-structured	representations	a	set
   1 tree	with	which	eight
   1 tree	to	develop	personalized
   1 tree	to	develop	a
   1 tree	the	third	to
   1 tree	the	frequencies	of
   1 tree	the	examples	were
   1 tree	that	was	generated
   1 tree	structure	hsu	et
   1 tree	structure	and	the
   1 tree	showing	how	objects
   1 tree	reflects	its	easy
   1 tree	production	has	three
   1 tree	is	used	to
   1 tree	is	tested	by
   1 tree	is	one	of
   1 tree	is	created	from
   1 tree	indicates	that	students
   1 tree	different	rules	lead
   1 tree	can	be	applied
   1 tree	can	also	be
   1 tree	by	discarding	one
   1 tree	are	presented	in
   1 tree	and	the	pearson
   1 tree	algorithm	begins	with
   1 treatments	field-independent	students	did
   1 treatment	than	in	the
   1 transfer	their	knowledge	into
   1 transactions	on	computer-human	interaction
   1 transaction	records	of	books
   1 traditional	statistics	with	the
   1 traditional	statistics	which	in
   1 traditional	statistics	to	identify
   1 traditional	statistics	to	determine
   1 traditional	statistics	it	is
   1 traditional	statistical	tests	i
   1 traditional	statistical	and	data-mining
   1 traditional	statistical	and	data
   1 traditional	statistical	and	clustering
   1 traditional	experiments	designed	to
   1 traditional	computer-based	instruction	programs
   1 traced	and	removed	from
   1 total	number	of	visited
   1 total	number	of	times
   1 total	number	of	pages
   1 total	number	of	65
   1 topics	related	to	their
   1 topics	in	other	words
   1 topics	in	any	order
   1 topics	from	the	hierarchical
   1 topics	for	field-dependent	students
   1 topics	for	completing	their
   1 topic	while	the	other
   1 topic	was	further	split
   1 topic	this	approach	not
   1 topic	in	this	way
   1 topic	in	the	alphabetical
   1 topic	and	other	topics
   1 topic	and	field-dependent	students
   1 top	of	the	screen
   1 top	down	tree	structure
   1 tools	including	a	hierarchical
   1 tools	in	this	study
   1 tools	in	different	ways
   1 tools	field-independent	students	often
   1 tools	display	options	and
   1 tools	at	the	same
   1 tools	and	subject	categories
   1 tools	and	preferred	presentation
   1 tool	was	used	including
   1 tool	for	analyzing	web
   1 took	place	in	a
   1 together	in	one	place
   1 together	confirmatory	analysis	and
   1 to	verify	prior	hypotheses
   1 to	verify	a	priori
   1 to	user	of	the
   1 to	use	their	own
   1 to	use	the	map
   1 to	use	data	mining
   1 to	use	a	pop-up
   1 to	understand	the	differences
   1 to	understand	how	they
   1 to	understand	existing	data
   1 to	uncover	relationships	and
   1 to	transfer	their	knowledge
   1 to	traditional	experiments	designed
   1 to	this	end	a
   1 to	this	decision	tree
   1 to	their	tasks	hence
   1 to	their	relative	importance
   1 to	their	learning	and
   1 to	their	findings	the
   1 to	the	task	of
   1 to	the	sixth	rules
   1 to	the	rest	of
   1 to	the	relatively	small
   1 to	the	members	of
   1 to	the	mean	values
   1 to	the	learning	systems
   1 to	the	given	classes
   1 to	the	functionality	of
   1 to	the	following	trends
   1 to	the	fact	that
   1 to	the	distinctive	cognitive
   1 to	the	development	of
   1 to	the	datasets	or
   1 to	the	content	of
   1 to	the	cluster	whose
