	a	brief
and	other	parts
other	parts	of
parts	of	the
of	the	mediterranean
the	mediterranean	smashing
mediterranean	smashing	buildings
smashing	buildings	and
buildings	and	drowning
and	drowning	many
drowning	many	thousands
many	thousands	of
thousands	of	people
of	people	in
people	in	the
in	the	wake
the	wake	of
wake	of	this
of	this	tremendous
this	tremendous	natural
tremendous	natural	upheaval
natural	upheaval	the
upheaval	the	aegean
the	aegean	islands
aegean	islands	next
islands	next	came
next	came	under
came	under	the
under	the	influence
the	influence	of
influence	of	the
of	the	mycenaeans
the	mycenaeans	at
mycenaeans	at	around
at	around	1300
around	1300	b
1300	b	c
b	c	who
c	who	had
who	had	a
had	a	base
a	base	in
base	in	the
in	the	peloponnese
the	peloponnese	region
peloponnese	region	of
region	of	the
of	the	greek
the	greek	mainland
greek	mainland	the
mainland	the	mycenaeans
the	mycenaeans	were
mycenaeans	were	an
were	an	acquisitive
an	acquisitive	race
acquisitive	race	who
race	who	came
who	came	to
came	to	conquer
to	conquer	not
conquer	not	to
not	to	trade
to	trade	their
trade	their	extensive
their	extensive	military
extensive	military	campaigns
military	campaigns	were
campaigns	were	later
were	later	chronicled
later	chronicled	by
chronicled	by	homer
by	homer	in
homer	in	his
in	his	epic
his	epic	poems
epic	poems	the
poems	the	odyssey
the	odyssey	and
odyssey	and	the
and	the	iliad
the	iliad	the
iliad	the	rise
the	rise	of
rise	of	athens
of	athens	the
athens	the	dorians
the	dorians	who
dorians	who	came
who	came	overland
came	overland	from
overland	from	northern
from	northern	europe
northern	europe	conquered
europe	conquered	the
conquered	the	mycenaeans
the	mycenaeans	they
mycenaeans	they	were
they	were	a
were	a	barbaric
a	barbaric	race
barbaric	race	and
race	and	their
and	their	custody
their	custody	of
custody	of	the
of	the	area
the	area	brought
area	brought	about
brought	about	a
about	a	dark
a	dark	period
dark	period	during
period	during	which
during	which	the
which	the	written
the	written	word
written	word	was
word	was	forgotten
was	forgotten	and
forgotten	and	art
and	art	disappeared
art	disappeared	they
disappeared	they	held
they	held	sway
held	sway	over
sway	over	islands
over	islands	off
islands	off	the
off	the	northern
the	northern	greek
northern	greek	coast
greek	coast	but
coast	but	the
but	the	phoenicians
the	phoenicians	kept
phoenicians	kept	control
kept	control	of
control	of	the
of	the	main
the	main	sea
main	sea	routes
sea	routes	south
routes	south	of
south	of	the
of	the	area
the	area	trade
area	trade	continued
trade	continued	as
continued	as	usual
as	usual	at
usual	at	the
at	the	same
the	same	time
same	time	city
time	city	states
city	states	began
states	began	to
began	to	grow
to	grow	in
grow	in	influence
in	influence	on
influence	on	the
on	the	southern
the	southern	greek
southern	greek	mainland
greek	mainland	athens
mainland	athens	became
athens	became	the
became	the	most
the	most	powerful
most	powerful	heralding
powerful	heralding	the
heralding	the	start
the	start	of
start	of	the
of	the	classical
the	classical	greek
classical	greek	period
greek	period	however
period	however	greece
however	greece	was
greece	was	not
was	not	yet
not	yet	a
yet	a	country
a	country	each
country	each	city
each	city	state
city	state	was
state	was	self
was	self	governing
self	governing	and
governing	and	autonomous
and	autonomous	the
autonomous	the	new
the	new	culture
new	culture	spread
culture	spread	throughout
spread	throughout	the
throughout	the	mediterranean
the	mediterranean	helped
mediterranean	helped	by
helped	by	a
by	a	huge
a	huge	increase
huge	increase	in
increase	in	migration
in	migration	from
migration	from	the
from	the	mainland
the	mainland	to
mainland	to	new
to	new	settlements
new	settlements	such
settlements	such	as
such	as	carthage
as	carthage	a
carthage	a	greek
a	greek	city
greek	city	on
city	on	the
on	the	african
the	african	coast
african	coast	of
coast	of	the
of	the	mediterranean
the	mediterranean	culture
mediterranean	culture	and
culture	and	the
and	the	arts
the	arts	flourished
arts	flourished	once
flourished	once	again
once	again	athletic
again	athletic	prowess
athletic	prowess	was
prowess	was	admired
was	admired	and
admired	and	the
and	the	olympic
the	olympic	games
olympic	games	were
games	were	constituted
were	constituted	in
constituted	in	776
in	776	b
776	b	c
b	c	to
c	to	promote
to	promote	friendly
promote	friendly	competition
friendly	competition	homer
competition	homer	wrote
homer	wrote	his
wrote	his	epic
his	epic	works
epic	works	on
works	on	chios
on	chios	and
chios	and	lyrical
and	lyrical	poetry
lyrical	poetry	was
poetry	was	much
was	much	admired
much	admired	particularly
admired	particularly	the
particularly	the	work
the	work	of
work	of	the
of	the	poets
the	poets	archilochos
poets	archilochos	on
archilochos	on	paros
on	paros	and
paros	and	sappho
and	sappho	on
sappho	on	lesvos
on	lesvos	the
lesvos	the	preeminent
the	preeminent	islands
preeminent	islands	of
islands	of	this
of	this	era
this	era	were
era	were	delos
were	delos	a
delos	a	sacred
a	sacred	island
sacred	island	and
island	and	center
and	center	of
center	of	religion
of	religion	ruled
religion	ruled	by
ruled	by	athens
by	athens	samos
athens	samos	ruled
samos	ruled	by
ruled	by	the
by	the	tyrant
the	tyrant	polycrates
tyrant	polycrates	and
polycrates	and	naxos
and	naxos	whose
naxos	whose	ruler
whose	ruler	lygdamis
ruler	lygdamis	undertook
lygdamis	undertook	some
undertook	some	major
some	major	building
major	building	projects
building	projects	archaeology
projects	archaeology	shows
archaeology	shows	that
shows	that	during
that	during	this
during	this	time
this	time	societies
time	societies	lived
societies	lived	mainly
lived	mainly	in
mainly	in	coastal
in	coastal	trading
coastal	trading	towns
trading	towns	with
towns	with	little
with	little	settlement
little	settlement	inland
settlement	inland	the
inland	the	persian
the	persian	wars
persian	wars	as
wars	as	athens
as	athens	rose
athens	rose	in
rose	in	influence
in	influence	and
influence	and	power
and	power	in
power	in	the
in	the	west
the	west	it
west	it	was
it	was	matched
was	matched	in
matched	in	the
in	the	east
the	east	by
east	by	the
by	the	rise
the	rise	of
rise	of	the
of	the	persian
the	persian	empire
persian	empire	from
empire	from	a
from	a	power
a	power	base
power	base	in
base	in	anatolia
in	anatolia	the
anatolia	the	persians
the	persians	overran
persians	overran	the
overran	the	eastern
the	eastern	aegean
eastern	aegean	islands
aegean	islands	and
islands	and	set
and	set	their
set	their	sights
their	sights	on
sights	on	the
on	the	cyclades
the	cyclades	in
cyclades	in	490
in	490	b
490	b	c
b	c	they
c	they	captured
they	captured	sacred
captured	sacred	delos
sacred	delos	and
delos	and	razed
and	razed	the
razed	the	settlements
the	settlements	on
settlements	on	naxos
on	naxos	the
naxos	the	island
the	island	communities
island	communities	were
communities	were	undecided
were	undecided	about
undecided	about	which
about	which	side
which	side	to
side	to	back
to	back	for
back	for	a
for	a	time
a	time	paros
time	paros	and
paros	and	andros
and	andros	contributed
andros	contributed	to
contributed	to	the
to	the	persian
the	persian	armory
persian	armory	while
armory	while	others
while	others	supported
others	supported	athens
supported	athens	the
athens	the	two
the	two	superpowers
two	superpowers	finally
superpowers	finally	clashed
finally	clashed	at
clashed	at	the
at	the	epic
the	epic	battles
epic	battles	of
battles	of	marathon
of	marathon	and
marathon	and	salamis
and	salamis	in
salamis	in	480
in	480	b
480	b	c
b	c	the
c	the	persians
the	persians	were
persians	were	defeated
were	defeated	and
defeated	and	athens
and	athens	duly
athens	duly	punished
duly	punished	the
punished	the	islands
the	islands	that
islands	that	had
that	had	turned
had	turned	against
turned	against	it
against	it	following
it	following	its
following	its	victory
its	victory	athens
victory	athens	introduced
athens	introduced	the
introduced	the	concept
the	concept	of
concept	of	a
of	a	mutual
a	mutual	protection
mutual	protection	alliance
protection	alliance	a
alliance	a	kind
a	kind	of
kind	of	nato
of	nato	of
nato	of	the
of	the	ancient
the	ancient	world
ancient	world	several
world	several	islands
several	islands	and
islands	and	greek
and	greek	city
greek	city	states
city	states	agreed
states	agreed	to
agreed	to	work
to	work	together
work	together	and
together	and	created
and	created	a
created	a	treasury
a	treasury	to
treasury	to	fund
to	fund	their
fund	their	plans
their	plans	which
plans	which	was
which	was	held
was	held	on
held	on	the
on	the	island
the	island	of
island	of	delos
of	delos	the
delos	the	alliance
the	alliance	became
alliance	became	known
became	known	as
known	as	the
as	the	delian
the	delian	league
delian	league	although
league	although	there
although	there	were
there	were	minor
were	minor	internal
minor	internal	wrangles
internal	wrangles	the
wrangles	the	league
the	league	controlled
league	controlled	the
controlled	the	aegean
the	aegean	and
aegean	and	the
and	the	greater
the	greater	athenian
greater	athenian	empire
athenian	empire	for
empire	for	most
for	most	of
most	of	the
of	the	fifth
the	fifth	century
fifth	century	b
century	b	c
b	c	later
c	later	in
later	in	454
in	454	b
454	b	c
b	c	the
c	the	treasury
the	treasury	was
treasury	was	transferred
was	transferred	to
transferred	to	athens
to	athens	and
athens	and	its
and	its	deposits
its	deposits	were
deposits	were	used
were	used	to
used	to	finance
to	finance	the
finance	the	construction
the	construction	of
construction	of	many
of	many	of
many	of	the
of	the	major
the	major	buildings
major	buildings	and
buildings	and	temples
and	temples	of
temples	of	the
of	the	classical
the	classical	age
classical	age	in
age	in	431
in	431	b
431	b	c
b	c	athens
c	athens	began
athens	began	a
began	a	war
a	war	with
war	with	its
with	its	neighbor
its	neighbor	and
neighbor	and	league
and	league	member
league	member	sparta
member	sparta	although
sparta	although	the
although	the	islands
the	islands	saw
islands	saw	little
saw	little	action
little	action	as
action	as	the
as	the	war
the	war	went
war	went	on
went	on	they
on	they	could
they	could	see
could	see	that
see	that	athens
that	athens	was
athens	was	slowly
was	slowly	losing
slowly	losing	its
losing	its	power
its	power	before
power	before	the
before	the	end
the	end	of
end	of	the
of	the	war
the	war	in
war	in	401
in	401	b
401	b	c
b	c	many
c	many	islands
many	islands	had
islands	had	already
had	already	transferred
already	transferred	their
transferred	their	allegiance
their	allegiance	to
allegiance	to	the
to	the	victors
the	victors	who
victors	who	were
who	were	led
were	led	by
led	by	philip
by	philip	ii
philip	ii	of
ii	of	macedon
of	macedon	he
macedon	he	was
he	was	followed
was	followed	in
followed	in	336
in	336	b
336	b	c
b	c	by
c	by	his
by	his	son
his	son	alexander
son	alexander	the
alexander	the	great
the	great	one
great	one	of
one	of	the
of	the	most
the	most	remarkable
most	remarkable	leaders
remarkable	leaders	in
leaders	in	history
in	history	his
history	his	rise
his	rise	to
rise	to	power
to	power	ushered
power	ushered	in
ushered	in	the
in	the	hellenistic
the	hellenistic	period
hellenistic	period	hellenistic
period	hellenistic	and
hellenistic	and	roman
and	roman	periods
roman	periods	when
periods	when	alexander
when	alexander	went
alexander	went	on
went	on	to
on	to	conquer
to	conquer	lands
conquer	lands	as
lands	as	far
as	far	to
far	to	the
to	the	east
the	east	as
east	as	india
as	india	the
india	the	aegean
the	aegean	became
aegean	became	a
became	a	crossroads
a	crossroads	for
crossroads	for	the
for	the	long
the	long	trading
long	trading	routes
trading	routes	delos
routes	delos	became
delos	became	one
became	one	of
one	of	the
of	the	largest
the	largest	marketplaces
largest	marketplaces	in
marketplaces	in	the
in	the	empire
the	empire	following
empire	following	alexander
following	alexander	s
alexander	s	death
s	death	his
death	his	lands
his	lands	were
lands	were	divided
were	divided	among
divided	among	his
among	his	generals
his	generals	much
generals	much	of
much	of	the
of	the	aegean
the	aegean	came
aegean	came	under
came	under	the
under	the	rule
the	rule	of
rule	of	the
of	the	ptolemies
the	ptolemies	along
ptolemies	along	with
along	with	egypt
with	egypt	cleopatra
egypt	cleopatra	was
cleopatra	was	a
was	a	member
a	member	of
member	of	this
of	this	famous
this	famous	ruling
famous	ruling	clan
ruling	clan	although
clan	although	in
although	in	88
in	88	b
88	b	c
b	c	mithradates
c	mithradates	made
mithradates	made	a
made	a	swift
a	swift	and
swift	and	successful
and	successful	raid
successful	raid	from
raid	from	the
from	the	east
the	east	across
east	across	asia
across	asia	minor
asia	minor	and
minor	and	the
and	the	aegean
the	aegean	islands
aegean	islands	the
islands	the	next
the	next	major
next	major	power
major	power	change
power	change	brought
change	brought	influence
brought	influence	from
influence	from	the
from	the	west
the	west	the
west	the	greek
the	greek	hellenistic
greek	hellenistic	empire
hellenistic	empire	was
empire	was	gradually
was	gradually	and
gradually	and	peacefully
and	peacefully	absorbed
peacefully	absorbed	into
absorbed	into	the
into	the	roman
the	roman	empire
roman	empire	the
empire	the	byzantine
the	byzantine	empire
byzantine	empire	and
empire	and	the
and	the	coming
the	coming	of
coming	of	christianity
of	christianity	the
christianity	the	romans
the	romans	ruled
romans	ruled	a
ruled	a	pagan
a	pagan	empire
pagan	empire	but
empire	but	the
but	the	aegean
the	aegean	had
aegean	had	an
had	an	important
an	important	influence
important	influence	on
influence	on	the
on	the	early
the	early	development
early	development	of
development	of	christianity
of	christianity	in
christianity	in	a
in	a	d
a	d	95
d	95	st
95	st	john
st	john	arrived
john	arrived	on
arrived	on	patmos
on	patmos	a
patmos	a	small
a	small	rocky
small	rocky	island
rocky	island	in
island	in	the
in	the	dodecanese
the	dodecanese	as
dodecanese	as	a
as	a	political
a	political	prisoner
political	prisoner	it
prisoner	it	was
it	was	here
was	here	that
here	that	he
that	he	wrote
he	wrote	what
wrote	what	was
what	was	to
was	to	become
to	become	the
become	the	final
the	final	book
final	book	of
book	of	the
of	the	new
the	new	testament
new	testament	the
testament	the	book
the	book	of
book	of	revelation
of	revelation	it
revelation	it	wasn
it	wasn	t
wasn	t	until
t	until	a
until	a	d
a	d	330
d	330	however
330	however	when
however	when	the
when	the	newly
the	newly	converted
newly	converted	emperor
converted	emperor	constantine
emperor	constantine	made
constantine	made	byzantium
made	byzantium	renamed
byzantium	renamed	constantinople
renamed	constantinople	capital
constantinople	capital	of
capital	of	his
of	his	eastern
his	eastern	empire
eastern	empire	that
empire	that	christianity
that	christianity	was
christianity	was	assured
was	assured	of
assured	of	its
of	its	dominant
its	dominant	role
dominant	role	in
role	in	future
in	future	greek
future	greek	life
greek	life	the
life	the	byzantine
the	byzantine	empire
byzantine	empire	had
empire	had	powerful
had	powerful	and
powerful	and	well
and	well	fortified
well	fortified	cities
fortified	cities	but
cities	but	the
but	the	countryside
the	countryside	and
countryside	and	the
and	the	outlying
the	outlying	islands
outlying	islands	were
islands	were	ravaged
were	ravaged	by
ravaged	by	waves
by	waves	of
waves	of	invaders
of	invaders	in
invaders	in	an
in	an	attempt
an	attempt	to
attempt	to	counter
to	counter	a
counter	a	threat
a	threat	from
threat	from	the
from	the	saracen
the	saracen	muslims
saracen	muslims	a
muslims	a	new
a	new	potent
new	potent	religious
potent	religious	force
religious	force	from
force	from	the
from	the	east
the	east	the
east	the	byzantine
the	byzantine	army
byzantine	army	forcefully
army	forcefully	enlisted
forcefully	enlisted	the
enlisted	the	men
the	men	of
men	of	the
of	the	islands
the	islands	disease
islands	disease	took
disease	took	a
took	a	further
a	further	toll
further	toll	by
toll	by	the
by	the	time
the	time	of
time	of	the
of	the	crusades
the	crusades	many
crusades	many	of
many	of	the
of	the	aegean
the	aegean	islands
aegean	islands	had
islands	had	been
had	been	practically
been	practically	depopulated
practically	depopulated	as
depopulated	as	the
as	the	byzantine
the	byzantine	empire
byzantine	empire	weakened
empire	weakened	at
weakened	at	the
at	the	end
the	end	of
end	of	the
of	the	first
the	first	millennium
first	millennium	crusader
millennium	crusader	forces
crusader	forces	were
forces	were	sent
were	sent	from
sent	from	western
from	western	europe
western	europe	to
europe	to	counter
to	counter	the
counter	the	muslim
the	muslim	forces
muslim	forces	and
forces	and	retake
and	retake	jerusalem
retake	jerusalem	for
jerusalem	for	the
for	the	christian
the	christian	faith
christian	faith	unfortunately
faith	unfortunately	their
unfortunately	their	zeal
their	zeal	was
zeal	was	not
was	not	matched
not	matched	by
matched	by	their
by	their	discrimination
their	discrimination	the
discrimination	the	crusaders
the	crusaders	swept
crusaders	swept	through
swept	through	the
through	the	land
the	land	of
land	of	byzantium
of	byzantium	slaughtering
byzantium	slaughtering	christians
slaughtering	christians	as
christians	as	well
as	well	as
well	as	muslims
as	muslims	civilians
muslims	civilians	as
civilians	as	well
as	well	as
well	as	soldiers
as	soldiers	constantinople
soldiers	constantinople	was
constantinople	was	taken
was	taken	by
taken	by	crusader
by	crusader	forces
crusader	forces	in
forces	in	1204
in	1204	and
1204	and	they
and	they	stripped
they	stripped	the
stripped	the	city
the	city	of
city	of	many
of	many	of
many	of	its
of	its	finest
its	finest	treasures
finest	treasures	which
treasures	which	now
which	now	grace
now	grace	the
grace	the	public
the	public	buildings
public	buildings	of
buildings	of	venice
of	venice	although
venice	although	a
although	a	large
a	large	consignment
large	consignment	of
consignment	of	books
of	books	and
books	and	manuscripts
and	manuscripts	was
manuscripts	was	transferred
was	transferred	to
transferred	to	the
to	the	monastery
the	monastery	at
monastery	at	patmos
at	patmos	before
patmos	before	the
before	the	city
the	city	fell
city	fell	while
fell	while	byzantine
while	byzantine	land
byzantine	land	was
land	was	being
was	being	divided
being	divided	there
divided	there	was
there	was	no
was	no	one
no	one	in
one	in	control
in	control	of
control	of	the
of	the	seas
the	seas	so
seas	so	pirates
so	pirates	raided
pirates	raided	towns
raided	towns	on
towns	on	many
on	many	of
many	of	the
of	the	islands
the	islands	to
islands	to	counter
to	counter	this
counter	this	the
this	the	populations
the	populations	moved
populations	moved	from
moved	from	their
from	their	homes
their	homes	on
homes	on	the
on	the	coast
the	coast	and
coast	and	built
and	built	settlements
built	settlements	inland
settlements	inland	out
inland	out	of
out	of	sight
of	sight	of
sight	of	the
of	the	raiding
the	raiding	parties
raiding	parties	this
parties	this	created
this	created	a
created	a	pattern
a	pattern	seen
pattern	seen	today
seen	today	throughout
today	throughout	the
throughout	the	aegean
the	aegean	of
aegean	of	a
of	a	small
a	small	port
small	port	skala
port	skala	which
skala	which	serves
which	serves	an
serves	an	inland
an	inland	settlement
inland	settlement	or
settlement	or	chora
or	chora	making
chora	making	it
making	it	easier
it	easier	to
easier	to	protect
to	protect	the
protect	the	island
the	island	from
island	from	attack
from	attack	the
attack	the	minor
the	minor	aegean
minor	aegean	islands
aegean	islands	were
islands	were	taken
were	taken	by
taken	by	various
by	various	powerful
various	powerful	european
powerful	european	noblemen
european	noblemen	many
noblemen	many	of
many	of	whom
of	whom	were
whom	were	genoese
were	genoese	or
genoese	or	venetian
or	venetian	such
venetian	such	as
such	as	marco
as	marco	sanudo
marco	sanudo	on
sanudo	on	naxos
on	naxos	the
naxos	the	noblemen
the	noblemen	had
noblemen	had	free
had	free	rein
free	rein	to
rein	to	create
to	create	their
create	their	own
their	own	fiefdoms
own	fiefdoms	the
fiefdoms	the	venetians
the	venetians	fortified
venetians	fortified	their
fortified	their	main
their	main	towns
main	towns	naxos
towns	naxos	town
naxos	town	and
town	and	antiparos
and	antiparos	town
antiparos	town	are
town	are	wonderful
are	wonderful	examples
wonderful	examples	of
examples	of	this
of	this	creating
this	creating	labyrinths
creating	labyrinths	of
labyrinths	of	narrow
of	narrow	alleys
narrow	alleys	and
alleys	and	cul
and	cul	de
cul	de	sacs
de	sacs	that
sacs	that	were
that	were	designed
were	designed	to
designed	to	confuse
to	confuse	and
confuse	and	to
and	to	demoralize
to	demoralize	invaders
demoralize	invaders	the
invaders	the	genoese
the	genoese	took
genoese	took	control
took	control	of
control	of	the
of	the	eastern
the	eastern	aegean
eastern	aegean	islands
aegean	islands	which
islands	which	were
which	were	considered
were	considered	the
considered	the	most
the	most	valuable
most	valuable	for
valuable	for	agriculture
for	agriculture	and
agriculture	and	trade
and	trade	after
trade	after	a
after	a	final
a	final	bloody
final	bloody	defeat
bloody	defeat	by
defeat	by	the
by	the	muslims
the	muslims	in
muslims	in	1309
in	1309	christian
1309	christian	forces
christian	forces	were
forces	were	forced
were	forced	from
forced	from	the
from	the	holy
the	holy	land
holy	land	the
land	the	knights
the	knights	of
knights	of	st
of	st	john
st	john	a
john	a	holy
a	holy	military
holy	military	force
military	force	made
force	made	their
made	their	way
their	way	to
way	to	rhodes
to	rhodes	and
rhodes	and	kos
and	kos	in
kos	in	the
in	the	dodecanese
the	dodecanese	they
dodecanese	they	began
they	began	the
began	the	process
the	process	of
process	of	building
of	building	their
building	their	strong
their	strong	citadels
strong	citadels	and
citadels	and	reinforcing
and	reinforcing	the
reinforcing	the	christian
the	christian	faith
christian	faith	on
faith	on	the
on	the	islands
the	islands	however
islands	however	they
however	they	had
they	had	not
had	not	seen
not	seen	the
seen	the	last
the	last	of
last	of	their
of	their	muslim
their	muslim	foe
muslim	foe	a
foe	a	force
a	force	was
force	was	gaining
was	gaining	strength
gaining	strength	in
strength	in	the
in	the	east
the	east	to
east	to	threaten
to	threaten	their
threaten	their	new
their	new	bases
new	bases	the
bases	the	coming
the	coming	of
coming	of	the
of	the	ottoman
the	ottoman	turks
ottoman	turks	the
turks	the	ottomans
the	ottomans	were
ottomans	were	roving
were	roving	invaders
roving	invaders	who
invaders	who	came
who	came	from
came	from	the
from	the	east
the	east	taking
east	taking	land
taking	land	in
land	in	what
in	what	is
what	is	now
is	now	turkey
now	turkey	by
turkey	by	the
by	the	end
the	end	of
end	of	the
of	the	13th
the	13th	century
13th	century	they
century	they	began
they	began	their
began	their	first
their	first	raids
first	raids	on
raids	on	the
on	the	aegean
the	aegean	islands
aegean	islands	in
islands	in	1453
in	1453	they
1453	they	took
they	took	constantinople
took	constantinople	and
constantinople	and	immediately
