   9 i	don	t	know
   3 did	not	give	up
   3 design	to	the	adaptive
   3 compare	our	design	to
   3 capture	the	participant	s
   3 both	groups	of	participants
   3 borderline	significant	main	effect
   3 between	the	two	groups
   3 between	the	feature-shy	and
   3 better	navigation	and	learnability
   3 and	learnability	and	allows
   3 and	allows	for	the
   3 allows	for	the	adoption
   3 adoption	of	different	personalization
   3 adding/deleting	functions	to/from	my
   3 about	the	adaptive	menus
   3 a	loss	of	control
   3 a	borderline	significant	main
   3 2	to	compare	our
   3 1	to	understand	the
   2 you	had	to	click
   2 would	not	likely	have
   2 would	have	been	cool
   2 would	be	required	to
   2 without	negatively	affecting	the
   2 within	the	first	2
   2 within	1	day	of
   2 with	the	exception	of
   2 with	the	adaptive	menus
   2 with	the	adaptive	interface
   2 with	our	adaptable	menus
   2 with	msw2k	at	the
   2 with	all	of	the
   2 with	adaptive	menus	and
   2 with	a	flexible	easy-to-use
   2 will	prefer	all-in-one	to
   2 will	feel	that	they
   2 will	be	more	satisfied
   2 who	didn	t	give
   2 while	using	msw2k	at
   2 when	they	switched	to
   2 when	provided	with	a
   2 were	located	at	the
   2 were	collected	on	diskette
   2 were	added	including	both
   2 we	discuss	our	findings
   2 way	through	the	4
   2 way	that	met	their
   2 was	used	before	or
   2 was	preferred	by	the
   2 was	no	significant	difference
   2 was	intended	to	capture
   2 was	held	within	1
   2 was	a	borderline	significant
   2 wanted	to	be	able
   2 version	of	the	software
   2 version	had	a	borderline
   2 using	msw2k	at	q1
   2 using	msw	personal	at
   2 users	making	the	transition
   2 users	do	effectively	personalize
   2 user-controlled	interface	adaptation	with
   2 user	s	level	of
   2 used	by	a	diversity
   2 used	before	or	after
   2 use	of	msw	personal
   2 use	for	multiple	interfaces
   2 up	on	their	desired
   2 university	of	british	columbia
   2 understand	the	participants	personalization
   2 two	participants	indicated	that
   2 two	main	goals	of
   2 two	groups	while	using
   2 two	further	tests	compared
   2 twice	as	likely	to
   2 triggers	satisfies	this	trigger
   2 trigger	to	add	functions
   2 trigger	the	user	has
   2 transition	to	a	new
   2 training	wheels	interface	to
   2 total	of	seven	functions
   2 total	number	of	functions
   2 to	use	their	personal
   2 to	use	in	the
   2 to	use	a	function
   2 to	understand	the	participants
   2 to	their	function	usage
   2 to	the	feature-keen	participants
   2 to	the	extent	that
   2 to	support	users	making
   2 to	play	a	role
   2 to	navigate	the	menus
   2 to	modify	their	personal
   2 to	learn	the	available
   2 to	assist	the	user
   2 to	allow	users	to
   2 to	add	all	used
   2 through	q8	and	in
   2 this	mechanism	for	adding/deleting
   2 they	were	aware	of
   2 they	switched	to	msw
   2 they	had	to	have
   2 they	are	better	able
   2 there	was	no	significant
   2 there	was	a	borderline
   2 there	has	been	relatively
   2 then	at	q6	the
   2 their	time	in	their
   2 their	interface	and	2
   2 the	way	through	the
   2 the	user	s	level
   2 the	user	can	easily
   2 the	two	main	goals
   2 the	two	interfaces	as
   2 the	two	interfaces	and
   2 the	two	groups	while
   2 the	transition	to	a
   2 the	transition	between	the
   2 the	size	of	the
   2 the	size	of	participants
   2 the	short	menus	were
   2 the	short	and	long
   2 the	satisfaction	of	the
   2 the	same	group	who
   2 the	q6	vs	q7
   2 the	personalizing	mechanism	easy
   2 the	personal	interface	and
   2 the	participant	who	had
   2 the	options	that	i
   2 the	open-ended	sections	in
   2 the	ones	that	i
   2 the	new	design	and
   2 the	menus	and	the
   2 the	majority	of	their
   2 the	majority	of	our
   2 the	log	files	were
   2 the	initial	period	on
   2 the	initial	period	for
   2 the	group	of	13
   2 the	great	majority	of
   2 the	functions	that	they
   2 the	full	interface	when
   2 the	frequently	used	functions
   2 the	first	meeting	and
   2 the	first	2	days
   2 the	feature-shy	ranked	adaptive
   2 the	feature-shy	participants	to
   2 the	feature-shy	participants	experienced
   2 the	feature-keen	while	using
   2 the	feature-keen	participants	at
   2 the	feature-keen	did	not
   2 the	fact	that	msw
   2 the	desire	to	have
   2 the	default	interface	with
   2 the	debriefing	interview	that
   2 the	comparison	of	the
   2 the	call	for	participation
   2 the	bottom	of	the
   2 the	analysis	in	section
   2 the	add	as-you-go	strategy
   2 the	adaptive	menus	turned
   2 the	adaptive	design	in
   2 that	would	have	been
   2 that	when	the	user
   2 that	they	are	better
   2 that	there	was	no
   2 that	there	was	a
   2 that	s	when	i
   2 that	met	their	needs
   2 that	it	was	easy
   2 that	i	use	most
   2 that	does	not	satisfy
   2 that	both	groups	of
   2 that	because	sometimes	i
   2 than	the	feature-keen	with
   2 than	the	feature-keen	while
   2 than	the	feature-keen	participants
   2 t	know	why	it
   2 switched	to	msw	personal
   2 switch	between	the	interfaces
   2 support	users	making	the
   2 such	that	when	the
   2 spent	50	or	more
   2 so	if	there	was
   2 size	of	the	personal
   2 size	of	participants	personal
   2 significantly	less	satisfied	than
   2 significant	summary	the	analysis
   2 significant	difference	detected	between
   2 shows	1	when	provided
   2 short	and	long	menus
   2 several	differences	between	the
   2 seven	participants	gave	up
   2 set	of	functions	the
   2 sections	in	questionnaires	q1
   2 satisfied	with	msw	personal
   2 satisfaction	navigation	control	and
   2 s	when	i	d
   2 s	use	of	msw
   2 s	overall	ranking	was
   2 representative	comments	include	i
   2 ranked	personal	first	is
   2 ranked	adaptive	before	all-in-one
   2 quick	access	to	the
   2 questionnaires	q1	through	q8
   2 qualitative	feedback	here	we
   2 q8	and	in	the
   2 q6	vs	q7	comparison
   2 q4	q5	and	q6
   2 q3	q4	q5	and
   2 q1	through	q8	and
   2 q1	t	18	-2
   2 q1	and	then	at
   2 provided	with	a	flexible
   2 preferred	to	the	all-in-one
   2 preferred	by	the	majority
   2 preference	for	msw	personal
   2 play	a	role	in
   2 personalizing	behavior	would	be
   2 personalize	their	interface	and
   2 personal	was	preferred	to
   2 personal	was	preferred	by
   2 personal	the	feature-keen	participants
   2 personal	interface	in	the
   2 personal	for	4	weeks
   2 perceived	ability	to	navigate
   2 perceived	ability	to	learn
   2 participants	will	feel	that
   2 participants	were	not	told
   2 participants	were	aware	of
   2 participants	took	the	approach
   2 participants	to	the	feature-keen
   2 participants	in	terms	of
   2 participants	however	the	feature-shy
   2 participants	did	not	experience
   2 participants	deleted	a	combined
   2 participants	at	q1	and
   2 participant	s	experience	of
   2 p	0	057	2
   2 overall	ranking	was	adaptable
   2 overall	preference	for	msw
   2 our	evaluation	shows	1
   2 our	evaluation	did	not
   2 our	adaptable	menus	results
   2 order	to	evaluate	this
   2 order	in	which	they
   2 options	that	i	want
   2 open-ended	sections	in	questionnaires
   2 only	3	participants	deleted
   2 ones	that	i	use
   2 on	their	desired	approach
   2 on	the	other	hand
   2 on	learnability	f	1
   2 of	users	do	effectively
   2 of	use	for	multiple
   2 of	their	word	processing
   2 of	their	usage	days
   2 of	their	time	in
   2 of	their	personal	interfaces
   2 of	the	way	through
   2 of	the	user	population
   2 of	the	standard	features
   2 of	the	short	and
   2 of	the	personal	interfaces
   2 of	the	multiple-interfaces	design
   2 of	the	menu	items
   2 of	the	initial	period
   2 of	the	feature-shy	ranked
   2 of	the	design	and
   2 of	the	13	participants
   2 of	the	12	participants
   2 of	personal	interface	hypothesis
   2 of	participants	personal	interfaces
   2 of	each	of	these
   2 of	an	adaptive	interface
   2 of	a	personal	interface
   2 number	of	functions	added
   2 note	that	all	the
   2 none	of	the	participants
   2 no	statistically	significant	differences
   2 no	significant	difference	detected
   2 new	design	and	2
   2 navigation	control	and	learning
   2 navigate	the	menus	and
   2 names	were	located	at
   2 multiple-interfaces	design	of	msw
   2 msword	personal	was	preferred
   2 msw2k	which	implements	a
   2 msw2k	hypothesis	supported	yes
   2 msw2k	at	q1	t
   2 msw	personal	was	used
   2 msw	personal	was	preferred
   2 msw	personal	was	a
   2 msw	personal	the	feature-keen
   2 msw	personal	at	q6
   2 more	satisfied	with	msw
   2 month	s	use	of
   2 miah	et	al	1997
   2 menus	results	in	better
   2 menus	and	toolbars	that
   2 menus	and	toolbars	is
   2 menus	and	the	toolbars
   2 meeting	was	held	within
   2 mechanism	the	majority	of
   2 maybury	and	wahlster	1999
   2 making	the	transition	to
   2 majority	of	users	do
   2 majority	of	our	participants
   2 main	goals	of	the
   2 main	effect	on	learnability
   2 loss	of	control	when
   2 long-term	users	of	msword
   2 log	files	were	collected
   2 lim	et	al	2005
   2 likely	to	add	all
   2 learnability	f	1	18
   2 krogsoeter	et	al	1994
   2 kaufman	and	weed	1998
   2 is	it	where	is
   2 is	categorized	as	all
   2 interfaces	is	easy	to
   2 interface	with	all	of
   2 interface	is	always	a
   2 interface	design	for	feature-rich
   2 interface	and	2	user-controlled
   2 interface	adaptation	with	our
   2 initial	trigger	to	add
   2 initial	period	on	average
   2 including	both	participant	groups
   2 in	the	order	in
   2 in	the	full	interface
   2 in	the	experiment	and
   2 in	the	context	of
   2 in	terms	of	when
   2 in	terms	of	how
   2 in	questionnaires	q1	through
   2 in	order	to	participate
   2 in	order	to	evaluate
   2 in	order	to	ensure
   2 in	order	to	add
   2 in	msw2k	which	implements
   2 in	any	way	that
   2 in	a	way	that
   2 in	a	field	experiment
   2 if	there	was	a
   2 i	would	like	to
   2 i	would	have	liked
   2 i	use	most	often
   2 i	don	t	like
   2 i	can	t	find
   2 hypothesis	feature-shy	participants	will
   2 hypothesis	both	feature-shy	and
   2 however	there	was	no
   2 however	the	feature-shy	participants
   2 how	the	multiple-interfaces	design
   2 here	we	discuss	our
   2 held	within	1	day
   2 having	two	interfaces	is
   2 has	been	relatively	little
   2 hand	users	would	not
   2 h9	three-way	comparison	hypothesis
   2 h4	modification	triggers	hypothesis
   2 h3	growth	of	personal
   2 growth	of	personal	interface
   2 groups	while	using	msw
   2 greenberg	and	witten	1985
   2 goals	of	the	evaluation
   2 go	back	and	forth
   2 functions	were	added	to
   2 functions	were	added	namely
   2 functions	were	added	including
   2 functions	to	their	personal
   2 functions	that	were	used
   2 functions	that	are	used
   2 from	the	open-ended	sections
   2 frequently	used	functions	were
   2 frequently	accessed	names	were
   2 for	the	purposes	of
   2 for	the	majority	of
   2 for	the	addition	of
   2 for	different	approaches	to
   2 following	the	second	meeting
   2 first	few	days	of
   2 files	were	collected	on
   2 feel	that	they	are
   2 feedback	here	we	discuss
   2 feature-shy	ranked	adaptive	before
   2 feature-shy	participants	to	the
   2 feature-keen	while	using	msw2k
   2 feature-keen	participants	will	feel
   2 feature-keen	participants	at	q1
   2 feature-keen	and	the	feature-shy
   2 fact	that	msw	personal
   2 f	1	18	5
   2 explained	by	the	fact
   2 evaluation	shows	1	when
   2 et	al	2005	miah
   2 et	al	1990	and
   2 end	of	the	initial
   2 effectively	personalize	their	interface
   2 effect	on	learnability	f
   2 easy	to	use	this
   2 easier	to	learn	functions
   2 during	the	first	meeting
   2 don	t	know	if
   2 don	t	know	how
   2 does	not	satisfy	the
   2 do	effectively	personalize	their
   2 discussion	and	additional	qualitative
   2 different	personalization	strategies	we
   2 different	approaches	to	personalization
   2 difference	detected	between	the
   2 dieterich	et	al	1993
   2 didn	t	give	up
   2 didn	t	do	that
   2 did	not	experience	any
   2 detected	between	the	two
   2 desired	approach	to	personalization
   2 design	of	msw	personal
   2 design	for	feature-rich	software
   2 design	and	the	adaptive
   2 design	and	2	to
   2 deleted	a	combined	total
   2 default	interface	with	all
   2 debevc	et	al	1996
   2 customization	mechanism	the	majority
   2 control	when	they	switched
   2 control	for	the	feature-shy
   2 contents	of	the	menus
   2 comparison	with	the	adaptive
   2 comparison	f	1	18
   2 combined	total	of	seven
   2 categorized	as	all	as-you-go
   2 carroll	and	carrithers	1984
   2 can	t	find	it
   2 by	the	majority	of
   2 by	the	end	of
   2 by	mcgrenere	and	moore
   2 by	a	diversity	of
   2 but	they	were	not
   2 browne	et	al	1990
   2 both	the	feature-keen	and
   2 both	the	adaptive	and
   2 both	from	the	open-ended
   2 both	feature-shy	and	feature-keen
   2 between	the	two	interfaces
   2 better	sense	of	control
   2 better	able	to	learn
   2 believe	that	it	was
   2 behavior	would	be	significantly
   2 before	all-in-one	as	compared
   2 been	added	by	mistake
   2 based	on	the	user
   2 back	and	forth	between
   2 aware	of	the	short
   2 availability	in	the	personal
   2 at	the	same	time
   2 at	the	bottom	of
   2 at	q6	the	feature-shy
   2 at	q1	t	18
   2 at	q1	and	then
   2 assessed	the	participant	s
   2 as	all	as-you-go	gave
   2 as	a	front-end	to
   2 are	the	ones	that
   2 are	better	able	to
   2 appear	in	the	short
   2 and	toolbars	is	easy
   2 and	then	at	q6
   2 and	the	feature-shy	participants
   2 and	the	feature-keen	participants
   2 and	the	adaptive	design
   2 and	moore	2000	but
   2 and	in	the	final
   2 and	feature-keen	participants	will
   2 and	additional	qualitative	feedback
   2 and	2	user-controlled	interface
   2 and	2	to	compare
   2 analysis	suggests	that	the
   2 an	adaptive	interface	in
   2 although	all	participants	were
   2 allows	the	user	to
   2 allow	for	different	approaches
   2 all-in-one	to	both	the
   2 all-in-one	as	compared	to
   2 all	participants	were	aware
   2 all	of	the	standard
   2 all	of	the	menu
   2 all	frequently	used	functions
   2 all	as-you-go	gave	up
   2 al	2005	miah	et
   2 after	it	was	added
   2 additional	qualitative	feedback	here
   2 added	to	the	personal
   2 added	including	both	participant
   2 add	all	used	functions
   2 adaptive	user	interface	research
   2 adaptive	menus	turned	off
   2 adaptive	menus	in	msw2k
   2 adaptive	interface	in	order
   2 adaptive	before	all-in-one	as
   2 adaptation	with	our	adaptable
   2 adaptable	menus	results	in
   2 accessed	names	were	located
   2 able	to	learn	the
   2 able	to	achieve	a
   2 a	single	button	click
   2 a	simple	random	sample
   2 a	role	in	the
   2 a	personalized	interface	and
   2 a	number	of	differences
   2 a	new	version	of
   2 a	function	was	used
   2 a	field	experiment	with
   2 a	diversity	of	users
   2 a	commercial	word	processor
   2 a	combined	total	of
   2 a	better	sense	of
   2 50	or	more	of
   2 35	had	to	be
   2 3	participants	deleted	a
   2 2005	miah	et	al
   2 2	user-controlled	interface	adaptation
   2 13	participants	who	did
   2 1	when	provided	with
   2 1	month	s	use
   2 057	2	0	19
   2 0	057	2	0
   1 zoom	setting	in	a
   1 zero	choice	i	would
   1 your	sort	of	routine
   1 your	options	so	you
   1 your	most	recently	used
   1 you	would	have	to
   1 you	will	forget	that
   1 you	use	two	functions
   1 you	use	most	recently
   1 you	use	most	often
   1 you	use	more	tends
   1 you	the	most	recent
   1 you	still	have	to
   1 you	need	something	different
   1 you	leave	the	adaptive
   1 you	leave	everything	on
   1 you	know	what	all
   1 you	know	using	that
   1 you	know	i	don
   1 you	know	and	this
   1 you	i	don	t
   1 you	have	the	full
   1 you	have	the	default
   1 you	have	seen	in
   1 you	get	i	found
   1 you	don	t	even
   1 you	do	that	--so
   1 you	couldn	t	go
   1 you	could	back	and
   1 you	click	the	open
   1 you	click	on	the
   1 you	can	see	all
   1 you	can	hunt	through
   1 you	are	more	likely
   1 you	and	you	don
   1 yet	three	participants	ranked
   1 yet	he	was	still
   1 yet	clear	whether	fully
   1 yet	actually	i	don
   1 yes	i	know	how
   1 yes	i	have	noticed
   1 yes	h9	three-way	comparison
   1 yes	h7	control	hypothesis
   1 yes	h4	modification	triggers
   1 yes	h2	approach	to
   1 yes	discussion	and	additional
   1 years	using	msword	there
   1 years	of	age	and
   1 years	ago	but	has
   1 xp10	needs	a	personal
   1 x	initial	trigger	the
   1 x	followed	directly	by
   1 wrong	way	to	use
   1 wrong	function	non-use	trigger
   1 writing	reports	or	writing
   1 writing	proposals	and	stuff
   1 writing	interview	participant	11
   1 woven	into	the	daily
   1 wouldn	t	usually	notice
   1 wouldn	t	even	notice
   1 wouldn	t	actually	have
   1 would	want	to	conduct
   1 would	want	as	minimal
   1 would	typically	also	add
   1 would	then	switch	to
   1 would	start	out	of
   1 would	say	that	it
   1 would	really	hate	is
   1 would	rather	not	do
   1 would	not	have	to
   1 would	not	choose	a
   1 would	not	be	taking
   1 would	never	pick	that
   1 would	maybe	be	tempted
   1 would	make	my	decision
   1 would	likely	make	the
   1 would	likely	be	artificial
   1 would	like	to	have
   1 would	like	to	be
   1 would	just	switch	once
   1 would	just	start	out
   1 would	just	have	regular
   1 would	have	to	package
   1 would	have	ranked	personal
   1 would	have	liked	to
   1 would	have	liked	it
   1 would	have	extinguished	my
   1 would	have	draw	all
   1 would	go	a	long
   1 would	find	navigation	easier
   1 would	feel	a	greater
   1 would	facilitate	the	quick
   1 would	do	next	cypher
   1 would	create	it	as
   1 would	by	default	start
   1 would	be	used	for
   1 would	be	uninstalled	at
   1 would	be	two	levels
   1 would	be	to	replicate
   1 would	be	to	investigate
   1 would	be	to	evaluate
   1 would	be	to	be
   1 would	be	significantly	more
   1 would	be	significantly	altered
   1 would	be	scanned	first
   1 would	be	positively	impacted
   1 would	be	nice	because
   1 would	be	naturally	occuring
   1 would	be	more	difficult
   1 would	be	made	to
   1 would	be	interesting	to
   1 would	be	ideal	in
   1 would	be	found	for
   1 would	be	easy	to
   1 would	be	available	through
   1 would	be	able	to
   1 would	be	a	little
   1 would	all	appear	in
   1 worthwhile	for	others	the
   1 worth	noting	that	these
   1 world	these	applications	have
   1 works	well	enough	then
   1 works	sufficiently	well	for
   1 worked	with	our	new
   1 worked	very	well	they
   1 worked	participant	22	suspected
   1 worked	msw2k	s	adaptive
   1 worked	for	example	yes
   1 work	we	conclude	with
   1 work	we	are	unable
   1 work	very	poorly	the
   1 work	shows	however	that
   1 work	predominantly	in	a
   1 work	on	the	adaptive
   1 work	on	just	regular
   1 work	on	charts	and
   1 work	mechanisms	to	support
   1 work	like	that	because
   1 work	it	seems	that
   1 work	is	required	to
   1 work	is	needed	to
   1 work	in	their	old
   1 work	in	adaptive	interfaces
   1 work	in	a	personalized
   1 work	i	am	pleasantly
   1 work	documented	in	this
   1 work	context	rather	than
   1 work	by	mackay	1991
   1 work			
   1 wordperfect	or	vice-versa	with
   1 word	xp10	needs	a
   1 word	the	information	about
   1 word	the	full	interface
   1 word	proposed	command	icon
   1 word	program	not	just
   1 word	processors	spreadsheets	and
   1 word	processor	with	adaptive
   1 word	processor	that	gave
   1 word	processor	such	as
   1 word	processor	our	evaluation
   1 word	processor	or	another
   1 word	processor	microsoft	word
   1 word	processor	conditions	the
   1 word	processor	closer	examination
   1 word	processor	adopts	a
   1 word	processor	a	field
   1 word	processing	time	in
   1 word	processing	the	time
   1 word	processing	tends	to
   1 word	processing	tasks	done
   1 word	processing	software	but
   1 word	processing	sd	554
   1 word	processing	per	week
   1 word	processing	on	a
   1 word	processing	occurred	with
   1 word	processing	applications	or
   1 word	processing	although	an
   1 word	personal	didn	t
   1 word	long	menu	and
   1 word	interface	and	it
   1 word	have	been	also
   1 word	currently	being	used
   1 word	because	i	don
   1 word	and	then	a
   1 word	and	it	would
   1 word	2000--i	really	really
   1 word	2000	msw2k	and
   1 word	2000	includes	both
   1 word	2000	first	two
   1 witten	1985	maybury	and
   1 witten	1985	adaptive	prompting
   1 without	the	changing	menus
   1 without	that	annoying	short
   1 without	having	to	point
   1 without	having	a	full
   1 without	adaptive	menus	the
   1 within	the	stupid	tree
   1 within	the	same	group
   1 within	the	online	preliminary
   1 within	the	initial	period
   1 within	the	first	few
   1 within	subjects	design	where
   1 within	msw	personal	supported
   1 within	a	small	individually
   1 within	4	8	usage
   1 within	2	days	of
   1 with	your	sort	of
   1 with	which	they	used
   1 with	which	each	menu
   1 with	which	adaptations	occur
   1 with	users	doing	their
   1 with	users	carrying	out
   1 with	those	that	have
   1 with	this	version	of
   1 with	this	software	this
   1 with	the	word	2000--i
   1 with	the	software	figures
   1 with	the	software	and
   1 with	the	rest	of
   1 with	the	participant	who
   1 with	the	participant	s
   1 with	the	mouse	for
   1 with	the	most	common
   1 with	the	modify	button
   1 with	the	interface	if
   1 with	the	goal	of
   1 with	the	feature-richness	of
   1 with	the	experimenter	on
   1 with	the	exception	that
   1 with	the	bonferonni	error
   1 with	the	adaptive	bar
   1 with	such	a	relatively
   1 with	some	final	thoughts
   1 with	single-button	access	to
   1 with	significantly	fewer	errors
   1 with	respect	to	triggers
   1 with	respect	to	their
   1 with	respect	to	the
   1 with	respect	to	software
   1 with	respect	to	scheduling
   1 with	respect	to	satisfaction
   1 with	respect	to	feature-rich
   1 with	respect	to	addition
   1 with	regular	writing	interview
   1 with	q3	through	q6
   1 with	q1	and	q2
   1 with	prescribed	tasks	that
   1 with	participants	who	were
   1 with	participants	in	the
   1 with	our	new	design
   1 with	novice	users	and
   1 with	my	questionnaire	before--the
   1 with	multiple-interfaces	design	we
   1 with	msword	personal	than
   1 with	msword	personal	but
   1 with	msw2k	whereas	there
   1 with	msw2k	the	log
   1 with	msw2k	the	feature-shy
   1 with	msw2k	q6	reflects
   1 with	msw2k	hypothesis	supported
   1 with	msw2k	h9	three-way
   1 with	msw2k	h8	learnability
   1 with	msw2k	h7	control
   1 with	msw2k	figure	8
   1 with	msw2k	but	they
   1 with	msw	personal	we
   1 with	msw	personal	the
   1 with	msw	personal	relies
   1 with	msw	personal	h6
   1 with	mixed	user	testing
   1 with	many	of	these
   1 with	it	so	i
   1 with	it	interview	participant
   1 with	giving	up	control
   1 with	five	repetitions	the
   1 with	each	participant	instructions
   1 with	each	new	release
   1 with	discussions	that	incorporate
   1 with	default	settings	could
   1 with	any	customization	that
   1 with	an	easy-to-understand	adaptation
   1 with	an	adaptive	interface
   1 with	all	features	by
   1 with	adaptive	interfaces	and
   1 with	adaptable	menus	for
   1 with	a	small	personal
   1 with	a	single	button
   1 with	a	reduced	feature
   1 with	a	microsoft	office
   1 with	a	different	person
   1 with	a	different	conceptual
   1 with	a	broad	range
   1 with	4	participants	who
   1 with	20	participants	the
   1 willing	to	spend	the
   1 will	use	the	mechanism
   1 will	then	appear	in
   1 will	spend	the	majority
   1 will	sit	there	and
   1 will	show	up	in
   1 will	reach	a	steady
   1 will	prefer	the	multiple-interfaces
   1 will	otherwise	be	almost
   1 will	not	continually	need
   1 will	likely	have	to
   1 will	influence	the	strategies
   1 will	have	to	hover
   1 will	forget	that	certain
   1 will	find	the	personalizing
   1 will	feel	a	better
   1 will	dominate	not	surprisingly
   1 will	disappear	from	the
   1 will	choose	to	use
   1 will	become	evident	our
   1 will	be	to	inform
   1 will	be	shown	in
   1 will	be	outweighed	by
   1 will	be	identifiable	triggers4
   1 will	be	dominated	by
   1 will	be	an	initial
   1 will	be	able	to
   1 will	always	be	available
   1 will	allow	for	different
   1 why	we	did	not
   1 why	the	personal	gave
   1 why	it	s	confusing
   1 why	it	bothers	me
   1 why	i	dislike	the
   1 why	but	well	okay
   1 whom	we	only	have
   1 whom	are	expert	longterm
   1 whole	set	comes	up
   1 whole	8	conclusions	and
   1 who	were	unaware	of
   1 who	were	already	users
   1 who	used	msword	97
   1 who	took	the	approach
   1 who	shared	their	customizations
   1 who	ranked	the	adaptive
   1 who	ranked	personal	first
   1 who	promote	the	use
   1 who	promote	comprehensible	predictable
   1 who	perform	similar	tasks
   1 who	most	frequently	personalized
   1 who	liked	the	menus
   1 who	is	categorized	as
   1 who	have	similar	computer
   1 who	had	very	negative
   1 who	had	the	longest
   1 who	had	deleted	four
   1 who	gave	up	is
   1 who	expressed	an	opinion
   1 who	each	used	an
   1 who	do	word	processing
   1 who	disliked	the	menus
   1 who	did	not	make
   1 who	did	give	up
   1 who	completed	the	most
   1 who	are	performing	similar
   1 who	added	only	regularly
   1 who	added	all	used
   1 while	we	expected	differences
   1 while	there	were	two
   1 while	there	were	no
   1 while	there	was	no
   1 while	the	goal	of
   1 while	the	broad	goal
   1 while	providing	one-button	access
   1 while	others	strongly	preferred
   1 while	not	directly	related
   1 while	many	users	were
   1 while	i	use	a
   1 while	five	participants	ranked
   1 while	and	find	it
   1 while	an	immediately-needed	function
   1 while	allowing	the	user
   1 which	were	typically	added
   1 which	we	called	msw
   1 which	was	on	average
   1 which	was	not	her
   1 which	uses	a	level-structured
   1 which	users	could	somehow
   1 which	user-assisted	personalization	research
   1 which	they	used	functions
   1 which	they	applied	a
   1 which	they	appear	in
   1 which	the	user	can
   1 which	the	user	accessed
   1 which	the	system	is
   1 which	the	size	of
   1 which	the	hierarchy	of
   1 which	software	versions	are
