  19 the	case	of
   3 of	fite-trt	and
   3 number	of	rules
   3 number	of	documents
   3 not	found	in
   3 native	spanish	and
   3 most	of	the
   3 morphological	or	phonetic
   3 methods	and	data
   3 means	of	the
   3 let	be	a
   3 language	word	in
   3 language	word	forms
   3 language	collection	s
   3 it	refers	to
   3 it	can	be
   3 is	intended	to
   3 indirect	translation	routes
   3 indication	precision	is
   3 indicated	to	be
   3 in	toivonen	et
   3 in	this	article
   3 in	t	let
   3 in	spanish-english	and
   3 high	number	of
   3 given	by	trt
   3 from	trt	s
   3 frequency-based	identification	of
   3 frequency	of	sw
   3 forms	in	a
   3 for	example	if
   3 for	a	source
   3 fite-trt	with	web
   3 fite-trt	s	frequency
   3 et	al	2004
   3 equivalents	were	not
   3 equivalents	of	the
   3 equivalent	of	a
   3 english	using	the
   3 eng	biosintesis	engweb
   3 each	other	in
   3 dictionary-based	clir	augmented
   3 df	s	sw
   3 described	in	pirkola
   3 depending	on	the
   3 definition	of	the
   3 criteria	1	3
   3 correctly	translated	by
   3 contained	in	the
   3 confidence	factor	and
   3 cci	0	1
   3 case	of	spanish-english
   3 case	of	frequency
   3 cannot	be	correctly
   3 by	trt	let
   3 by	the	function
   3 both	types	of
   3 be	untranslatable	by
   3 be	correctly	translated
   3 be	a	corpus
   3 available	for	a
   3 at	p	0
   3 at	20	documents
   3 as	the	proportion
   3 as	part	of
   3 as	fite-trt	s
   3 as	described	in
   3 as	an	example
   3 as	an	equivalent
   3 are	used	in
   3 are	shown	in
   3 application	of	fite-trt
   3 and	the	first
   3 and	native	words
   3 and	medical	terms
   3 and	finnish	words
   3 a	translation	set
   3 5	2	1
   3 5	1	1
   3 2	frequency	lists
   3 0	98	8
   3 0	1	2
   2 zhang	and	vines
   2 yielded	by	trt
   2 words	where	the
   2 words	that	are
   2 words	than	the
   2 words	source	words
   2 words	may	be
   2 words	indication	precision
   2 words	for	example
   2 words	equivalents	were
   2 words	as	well
   2 words	and	english
   2 wordlist	containing	word
   2 word	with	the
   2 word	tw	in
   2 word	sets	contained
   2 word	set	produced
   2 word	methods	and
   2 word	is	indicated
   2 word	frequencies	we
   2 word	forms	yielded
   2 word	forms	produced
   2 word	forms	and
   2 word	form	the
   2 word	form	in
   2 word	form	dft
   2 word	and	len
   2 word	among	the
   2 with	word	class
   2 with	trt	and
   2 with	the	web
   2 with	the	highest
   2 with	fite-trt	performed
   2 with	cf	4
   2 which	was	the
   2 what	are	the
   2 wf	s	sw
   2 were	used	as
   2 were	lemmatized	manually
   2 were	kept	intact
   2 were	identified	using
   2 were	extracted	from
   2 well	as	the
   2 web	document	collection
   2 web	competitive	with
   2 web	and	35
   2 we	used	the
   2 we	had	to
   2 we	found	that
   2 we	describe	the
   2 we	denote	this
   2 we	denote	its
   2 was	used	in
   2 was	the	case
   2 was	the	best
   2 was	not	considered
   2 variants	how	to
   2 values	in	the
   2 value	true	if
   2 utaclir	skipgrams	with
   2 utaclir	s	oov
   2 using	the	utaclir
   2 used	as	thresholds
   2 use	of	fite-trt
   2 untranslatable	by	trt
   2 university	of	tampere
   2 types	of	words
   2 two	languages	were
   2 two	best	matches
   2 twi	and	tw
   2 tw	the	frequency
   2 tw	j	be
   2 tw	a	target
   2 tw	-	len
   2 true	if	the
   2 true	if	len
   2 trt	with	cf
   2 trt	when	most
   2 trt	in	this
   2 trt	and	fuzzy
   2 trec	genomics	track
   2 translation	to	the
   2 translation	sets	because
   2 translation	set	of
   2 translation	set	by
   2 translation	set	because
   2 translation	recall	was
   2 translation	precision	was
   2 translation	precision	is
   2 translation	dictionaries	and
   2 translation	by	trt
   2 transformation	rules	available
   2 transformation	rules	and
   2 transformation	rule	collections
   2 transformation	rule	based
   2 total	number	of
   2 topics	were	translated
   2 to	the	fact
   2 to	the	effectiveness
   2 to	select	the
   2 to	reliably	identify
   2 to	its	overall
   2 to	indicate	the
   2 to	effectively	identify
   2 to	a	clir
   2 tl	a	target
   2 thresholds	to	select
   2 there	were	two
   2 the	word	with
   2 the	word	set
   2 the	word	frequency
   2 the	web	competitive
   2 the	web	and
   2 the	utaclir	system
   2 the	utaclir	runs
   2 the	two	languages
   2 the	trt	translation
   2 the	trt	technique
   2 the	translation	of
   2 the	translated	queries
   2 the	training	and
   2 the	total	number
   2 the	three	criteria
   2 the	statistical	significance
   2 the	spanish-english	and
   2 the	source	and
   2 the	skipgram	fuzzy
   2 the	second	pivot
   2 the	second	form
   2 the	results	of
   2 the	recall	is
   2 the	proposed	fite-trt
   2 the	performance	of
   2 the	overall	recall
   2 the	other	the
   2 the	other	hand
   2 the	oov	word
   2 the	novel	fite
   2 the	native	words
   2 the	methods	and
   2 the	many	word
   2 the	magnitude	of
   2 the	lists	are
   2 the	language	pairs
   2 the	index	of
   2 the	genomics	track
   2 the	function	freq-pattern-ok
   2 the	focus	of
   2 the	fite-trt	technique
   2 the	fite	component
   2 the	first	position
   2 the	first	and
   2 the	finnish	word
   2 the	fact	that
   2 the	experiments	the
   2 the	example	in
   2 the	equivalent	only
   2 the	equivalent	if
   2 the	domains	of
   2 the	difference	in
   2 the	difference	between
   2 the	definition	of
   2 the	correct	translation
   2 the	correct	equivalents
   2 the	clir	experiments
   2 the	clir	baseline
   2 the	case	in
   2 the	boolean	function
   2 the	best	technique
   2 the	actual	web
   2 that	was	used
   2 that	in	the
   2 that	depending	on
   2 than	the	baseline
   2 than	in	the
   2 tested	for	the
   2 terms	in	various
   2 terms	cross-lingual	spelling
   2 technique	where	words
   2 technique	called	frequency-based
   2 technique	as	described
   2 technique	among	several
   2 target	word	forms
   2 target	word	candidate
   2 target	language	sub-
   2 target	language	document
   2 taken	into	account
   2 tables	ix	and
   2 system	boosted	by
   2 system	augmented	with
   2 sw	sl	we
   2 sw	notational	convention
   2 sw	be	the
   2 substantially	better	than
   2 sub-	web	document
   2 step	of	the
   2 standard	clir	system
   2 stage	of	development
   2 spelling	variants	native
   2 spelling	variants	how
   2 spanish-english	clir	map
   2 spanish-english	and	finnishenglish
   2 spanish	source	word
   2 source	words	and
   2 source	word	were
   2 source	word	not
   2 source	word	among
   2 source	language	sl
   2 some	source	language
   2 smaller	than	in
   2 sl	we	denote
   2 skipped	characters	as
   2 skipgram	queries	the
   2 significantly	better	results
   2 shown	in	table
   2 set	produced	by
   2 set	by	means
   2 set	because	source
   2 seen	in	table
   2 see	section	2
   2 sections	4	2
   2 section	5	2
   2 section	5	1
   2 section	4	5
   2 section	2	the
   2 second	pivot	language
   2 s	sw	be
   2 s	oov	words
   2 s	and	tw
   2 rules	for	trt
   2 rule	generation	method
   2 rule	collections	the
   2 rule	collections	and
   2 rule	based	translation
   2 research	problems	and
   2 reliably	identify	native
   2 relative	word	frequency
   2 relative	document	frequency
   2 rel-wf	1	indicate
   2 rel-df	and	rel-wf
   2 ranking	target	word
   2 r	what	is
   2 r	utaclir	skipgrams
   2 r	utaclir	fite-trt
   2 r	trt-frank	tws
   2 queries	where	oov
   2 quantitatively	the	difference
   2 proposed	fite-trt	method
   2 proportion	of	source
   2 produced	by	trt
   2 produced	by	the
   2 produced	by	our
   2 process	to	its
   2 problems	and	evaluation
   2 presented	in	the
   2 precision	results	for
   2 precision	is	defined
   2 plain	trt	queries
   2 plain	trt	and
   2 pivot	languages	as
   2 performed	substantially	better
   2 perform	better	than
   2 part	of	an
   2 pair	are	used
   2 p	0	05
   2 overall	recall	was
   2 out-of-vocabulary	oov	words
   2 our	trt	translation
   2 other	word	forms
   2 other	oov	word
   2 original	english	queries
   2 or	phonetic	resemblance
   2 oov-utaclir-spa-eng	and	oov-utaclir-fin-eng
   2 oov	words	the
   2 oov	words	in
   2 oov	words	by
   2 oov	word	technique
   2 oov	keys	were
   2 oov	keys	are
   2 only	if	the
   2 only	at	p
   2 on	the	use
   2 on	the	source
   2 on	the	other
   2 of	words	in
   2 of	word	frequency
   2 of	web	as
   2 of	utaclir	s
   2 of	trt	the
   2 of	translation	resources
   2 of	translation	recall
   2 of	transformation	rules
   2 of	this	article
   2 of	the	translation
   2 of	the	transformation
   2 of	the	source
   2 of	the	second
   2 of	the	rule
   2 of	the	proposed
   2 of	the	oov
   2 of	skipped	characters
   2 of	multilingual	dictionaries
   2 of	fite	in
   2 of	each	step
   2 of	documents	as
   2 of	dictionary-based	clir
   2 of	cross-lingual	spelling
   2 of	consecutive	characters
   2 of	cf	4
   2 of	both	consecutive
   2 of	biology	and
   2 of	an	actual
   2 of	a	standard
   2 obtained	by	trt
   2 number	of	the
   2 number	of	skipped
   2 novel	fite	technique
   2 note	that	if
   2 not	the	correct
   2 not	meet	the
   2 not	have	morphological
   2 not	appear	in
   2 not	accepted	as
   2 normalizing	factor	0
   2 needs	to	be
   2 need	to	be
   2 native	words	we
   2 native	words	the
   2 native	word	and
   2 native	source	words
   2 native	oov	words
   2 mixed	language	pages
   2 methods	and	in
   2 meet	the	length
   2 medical	dictionary	by
   2 medical	and	biological
   2 measures	of	translation
   2 may	be	identical
   2 may	achieve	high
   2 matching	oov	word
   2 map	is	a
   2 map	improvement	percentages
   2 many	word	forms
   2 magnitude	of	difference
   2 list	t	as
   2 list	of	words
   2 list	of	finnish
   2 let	tw	be
   2 length	of	the
   2 length	in	characters
   2 len	tw	-
   2 len	sw	10
   2 language	words	source
   2 language	words	may
   2 language	words	in
   2 language	wordlist	containing
   2 language	word	tw
   2 language	word	list
   2 language	word	form
   2 language	word	and
   2 language	sub-	web
   2 language	pairs	for
   2 language	pair	are
   2 language	french	was
   2 language	document	collection
   2 language	and	frequency
   2 keys	were	kept
   2 ix	and	x
   2 its	overall	effectiveness
   2 its	length	in
   2 its	document	frequency
   2 it	was	not
   2 it	is	not
   2 is	the	contribution
   2 is	selected	as
   2 is	not	the
   2 is	discussed	in
   2 is	described	in
   2 is	based	on
   2 into	spanish	and
   2 into	a	target
   2 intended	to	translate
   2 inquery	s	syn-operator
   2 included	in	trt
   2 in	various	domains
   2 in	trt	s
   2 in	trt	in
   2 in	this	section
   2 in	the	two
   2 in	the	study
   2 in	the	second
   2 in	the	rule
   2 in	the	language
   2 in	the	frequency
   2 in	the	english
   2 in	the	domains
   2 in	the	definition
   2 in	table	iv
   2 in	t	is
   2 in	t	by
   2 in	statistical	mt
   2 in	spanish-english	clir
   2 in	sections	4
   2 in	section	5
   2 in	section	3
   2 in	s	and
   2 in	order	to
   2 in	future	research
   2 in	different	languages
   2 in	cross-language	retrieval
   2 in	cases	where
   2 in	base	form
   2 in	any	documents
   2 in	all	test
   2 in	addition	to
   2 in	a	translation
   2 in	a	frequency-ranked
   2 if	len	tw
   2 identify	the	correct
   2 identify	native	source
   2 identified	from	trt
   2 identification	of	the
   2 identification	of	equivalents
   2 how	to	reliably
   2 how	to	effectively
   2 highest	ranking	target
   2 highest	df	is
   2 have	morphological	or
   2 gives	the	value
   2 gives	the	relative
   2 given	by	the
   2 german	and	spanish
   2 german	and	french
   2 genomics	track	2004
   2 fuzzy	matching	technique
   2 fuzzy	matching	oov
   2 frequency	of	tw
   2 frequency	lists	word
   2 frequency	lists	were
   2 frequency	lists	we
   2 frequency	lists	in
   2 frequency	lists	are
   2 frequency	lists	also
   2 frequency	for	tw
   2 frequency	and	confidence
   2 frequencies	we	denote
   2 frequencies	was	the
   2 found	in	the
   2 forms	yielded	by
   2 forms	produced	by
   2 forms	obtained	by
   2 forms	in	the
   2 formed	of	consecutive
   2 form	in	the
   2 form	does	not
   2 form	dft	r
   2 form	and	the
   2 for	which	trt
   2 for	tw	in
   2 for	the	translation
   2 for	the	spanish
   2 for	the	source
   2 for	the	native
   2 for	the	identification
   2 for	the	criteria
   2 for	spanish-english	and
   2 for	finnish-english	the
   2 for	finnish-english	and
   2 for	example	that
   2 for	each	source
   2 for	bio-terms	and
   2 for	a	language
   2 for	a	given
   2 five	best	matches
   2 fite-trt	was	evaluated
   2 fite-trt	s	high
   2 fite-trt	queries	remarkably
   2 fite-trt	process	to
   2 fite-trt	performed	substantially
   2 fite-trt	in	the
   2 fite-trt	in	comparison
   2 fite-trt	effectiveness	was
   2 fite	technique	as
   2 fite	component	of
   2 first	word	form
   2 finnish-english	spelling	variants
   2 finnish-english	rule	collections
   2 finnish-english	fite-trt	queries
   2 finnish-english	and	for
   2 finnish	german	and
   2 file	in	the
   2 failures	of	direct
   2 factor	and	frequency
   2 factor	0	the
   2 experiments	the	source
   2 experiments	the	novel
   2 experiments	and	the
   2 example	in	the
   2 example	in	table
   2 example	if	there
   2 example	for	the
   2 evaluated	using	the
   2 et	al	2000
   2 equivalents	were	identified
   2 equivalent	only	if
   2 english	words	and
   2 english	translation	sets
   2 english	and	chinese
   2 english	acronyms	the
   2 effectiveness	was	evaluated
   2 effectiveness	of	dictionary-based
   2 effectiveness	of	a
   2 effectively	identify	the
   2 each	web	site
   2 each	oov	word
   2 domains	of	biology
   2 does	not	meet
   2 does	not	appear
   2 documents	were	downloaded
   2 documents	as	fite-trt
   2 document	frequency	of
   2 document	frequency	in
   2 document	frequency	for
   2 document	frequencies	was
   2 document	collection	t
   2 document	collection	or
   2 do	not	have
   2 divided	by	the
   2 discussion	and	conclusions
   2 discussed	in	section
   2 direct	translation	to
   2 direct	translation	is
   2 direct	and	indirect
   2 digrams	formed	of
   2 difference	in	the
   2 difference	between	the
   2 difference	between	cross-lingual
   2 dictionary	data	that
   2 dft	tw	j
   2 denote	this	by
   2 denote	the	frequency
   2 denote	its	document
   2 deficiencies	in	the
   2 data	used	in
   2 data	that	was
   2 data	consisted	of
   2 cross-language	retrieval	experiments
   2 criterion	tested	by
   2 correctly	indicated	to
   2 correct	translation	equivalents
   2 correct	equivalents	among
   2 correct	equivalent	of
   2 contribution	of	each
   2 contribution	of	direct
   2 containing	word	frequencies
   2 construction	of	multilingual
   2 component	passes	the
   2 component	of	fite-trt
   2 competitive	with	the
   2 comparison	to	a
   2 collection	or	word
   2 collection	of	documents
   2 clir	system	boosted
   2 clir	system	augmented
   2 clir	map	improvement
   2 clir	baseline	although
   2 clir	and	monolingual
   2 characters	of	words
   2 characterize	quantitatively	the
   2 cf	4	and
   2 cf	4	0
   2 case	of	word
   2 case	of	the
   2 can	be	overcome
   2 called	frequency-based	identification
   2 by	trt	with
   2 by	trt	when
   2 by	trt	s
   2 by	trt	in
   2 by	trt	for
   2 by	the	use
   2 by	the	procedure
   2 by	our	trt
   2 by	keskustalo	et
   2 by	a	researcher
   2 boosted	by	the
   2 biosintesis	engweb	3
   2 biology	and	medicine
   2 between	cross-lingual	spelling
   2 better	than	the
   2 best	technique	among
   2 best	matches	were
   2 because	source	and
   2 be	the	frequency
   2 be	some	word
   2 be	some	source
   2 be	seen	that
   2 be	seen	in
   2 be	overcome	by
   2 basis	of	the
   2 baseline	although	performance
   2 based	translation	trt
   2 background	research	the
   2 average	lcs/mwls	are
   2 automatic	construction	of
   2 augmented	with	trt
   2 at	the	first
   2 associated	with	the
   2 as	thresholds	to
   2 as	the	frequency
   2 as	test	words
   2 as	spelling	variants
   2 as	follows	the
   2 as	correct	equivalents
   2 as	a	collection
   2 are	word	frequency
   2 are	translated	by
   2 are	the	translation
   2 are	etymologically	related
   2 are	correct	equivalents
   2 applied	as	part
   2 appear	in	any
   2 any	documents	of
   2 and	vines	2004
   2 and	tw	j
   2 and	tw	a
   2 and	their	context
   2 and	the	finnish
   2 and	test	words
   2 and	test	word
   2 and	target	languages
   2 and	spanish	the
   2 and	skipgram	queries
   2 and	rel-wf	1
   2 and	monolingual	baselines
   2 and	indirect	translation
   2 and	in	comparison
   2 and	fuzzy	matching
   2 and	frequency	thresholds
   2 and	fite-trt	s
   2 and	finnish-english	spelling
   2 and	finnish	by
   2 and	evaluation	measures
   2 and	english	acronyms
   2 and	dft	tw
   2 and	data	used
   2 and	confidence	factor
   2 and	35	2
   2 an	example	of
   2 an	example	for
   2 an	actual	clir
   2 among	the	many
   2 among	all	source
   2 although	performance	improvements
   2 all	the	source
   2 al	2005	we
   2 al	2003	we
   2 al	2003	the
   2 adds	recall	only
   2 actual	web	mining
   2 actual	clir	system
   2 achieve	high	translation
   2 accepted	as	correct
   2 accepted	as	an
   2 a	target	word
   2 a	standard	clir
   2 a	set	of
   2 a	researcher	the
   2 a	query	in
   2 a	pivot	language
   2 a	novel	statistical
   2 a	language	pair
   2 a	high	number
   2 a	given	source
   2 a	direct	translation
   2 a	collection	of
   2 a	clir	system
   2 98	8	the
   2 95	0	98
   2 91	0	recall
   2 89	2	91
   2 82	0	recall
   2 40	word	forms
   2 40	3	web
   2 4	let	sw
   2 4	and	frequency
   2 4	0	and
   2 35	2	frequency
   2 3	web	and
   2 20	documents	is
   2 2	the	equivalents
   2 2	let	sw
   2 2	91	0
   2 10	0	and
   2 1	were	translated
   2 05	in	the
   2 0	the	function
   2 0	recall	in
   2 0	05	in
   2 -	len	sw
   1 yields	the	value
   1 yields	equivalents	among
   1 yield	the	translation
   1 yield	good	results
   1 yield	a	solution
   1 yield	a	smaller
   1 xwf	s	sw
   1 xii	also	deficiencies
   1 xi	the	statistical
   1 xi	shows	the
   1 xi	in	the
   1 x	in	spanish-english
   1 x	and	against
   1 x	all	spanish-english
   1 x	all	queries
   1 wrongly	increases	the
   1 wrong	identification	and
   1 wrong	equivalents	indicated
   1 wrong	equivalent	the
   1 wrapped	in	the
   1 would	imply	the
   1 would	have	compensated
   1 would	give	very
   1 would	essentially	be
   1 would	be	useful
   1 would	be	possible
   1 would	be	hard
   1 would	automatically	yield
   1 worth	mentioning	an
   1 words--the	source	words
   1 words--may	be	achieved
   1 words	within	the
   1 words	with	the
   1 words	were	rendered
   1 words	were	lemmatized
   1 words	were	in
   1 words	were	identified
   1 words	were	extracted
   1 words	were	english
   1 words	were	correctly
   1 words	we	used
   1 words	we	use
   1 words	we	selected
   1 words	we	had
   1 words	we	examine
   1 words	we	conclude
   1 words	we	computed
   1 words	twi	and
   1 words	translation	precision
   1 words	translated	by
   1 words	to	characterize
   1 words	tieto	and
   1 words	then	we
   1 words	then	translation
   1 words	their	degree
   1 words	the	translation
   1 words	the	training
   1 words	the	titles
   1 words	the	results
   1 words	the	question
   1 words	the	first
   1 words	the	difference
   1 words	the	contribution
   1 words	the	closer
   1 words	the	average
   1 words	tested	in
   1 words	table	viii
   1 words	table	vi
   1 words	spanish	386
   1 words	section	5
   1 words	r	are
   1 words	passed	through
   1 words	originate	from
   1 words	or	they
   1 words	of	tws
   1 words	obtained	by
   1 words	not	found
   1 words	next	we
   1 words	n	75
   1 words	medicine	biology
   1 words	may	only
   1 words	leucocytic	and
   1 words	lcs/mwl	lcs
   1 words	keskustalo	et
   1 words	it	can
   1 words	is	substantially
   1 words	intermediate	language
   1 words	in	spanish-english
   1 words	in	pirkola
   1 words	in	finnish
   1 words	in	different
   1 words	in	another
   1 words	in	all
   1 words	high	frequency
   1 words	have	different
   1 words	had	multiple
   1 words	german	470
   1 words	for	the
   1 words	for	spanish-english
   1 words	for	each
   1 words	finnish	886
   1 words	do	not
   1 words	describes	how
   1 words	cross-lingual	spelling
   1 words	correctly	indicated
   1 words	containing	four
   1 words	contained	in
   1 words	constitute	a
   1 words	computer	and
   1 words	by	means
   1 words	by	keskustalo
   1 words	average	lcs/mwls
   1 words	as	source
   1 words	are	split
   1 words	are	similar
   1 words	are	not
   1 words	are	as
   1 words	and	trt
   1 words	and	those
   1 words	and	therefore
   1 words	and	the
   1 words	and	fite
   1 words	and	a
   1 words	among	the
   1 word/equivalent	pairs	frequencies
   1 word	were	included
   1 word	were	combined
   1 word	was	retranslated
   1 word	was	matched
   1 word	vinculante	lcs/mwl
   1 word	tw	note
   1 word	tw	is
   1 word	translation	technique
   1 word	the	trt
   1 word	that	is
   1 word	technique	provides
   1 word	technique	is
   1 word	sw	we
   1 word	sw	sl
   1 word	sets	trec
   1 word	sets	there
   1 word	sets	due
   1 word	sets	containing
   1 word	sets	and
   1 word	sets	a
   1 word	set	there
   1 word	set	that
   1 word	set	for
   1 word	set	contained
   1 word	set	both
   1 word	s	word
   1 word	s	correct
   1 word	restriction	the
   1 word	rather	than
   1 word	queries	or
   1 word	problem	phonetic
   1 word	pairs	judged
   1 word	of	the
   1 word	not	translated
   1 word	not	one
   1 word	methods/systems	presented
   1 word	methods	we
   1 word	methods	in
   1 word	method	is
   1 word	may	occur
   1 word	list	the
   1 word	list	t
   1 word	list	s
   1 word	leukosyytti	and
   1 word	length	a
   1 word	it	may
   1 word	is	retranslated
   1 word	is	known
   1 word	is	included
   1 word	is	an
   1 word	is	always
   1 word	in	source
   1 word	frequency	wf
   1 word	frequency	rel-wf
   1 word	frequency	for
   1 word	frequencies	instead
   1 word	fraccionamiento	a
   1 word	found	in
   1 word	forms	within
   1 word	forms	tested
   1 word	forms	often
   1 word	forms	not
   1 word	forms	it
   1 word	forms	into
   1 word	forms	if
   1 word	forms	for
   1 word	forms	by
   1 word	forms	are
   1 word	forms	among
   1 word	form	to
   1 word	form	ranking
   1 word	form	has
   1 word	form	does
   1 word	form	and
   1 word	either	one
   1 word	contains	7
   1 word	co-occurrence	statistics
   1 word	class	is
   1 word	candidate	this
   1 word	candidate	list
   1 word	candidate	as
   1 word	but	is
   1 word	biosintesis	in
   1 word	bacteria	the
   1 word	are	used
   1 word	and	present
   1 word	and	its
   1 word	and	a
   1 word	1	two
   1 without	using	any
   1 without	the	use
   1 without	fuzzy	matching
   1 without	frequency-based	selection
   1 without	any	oov
   1 within	the	syn-operator
   1 within	the	range
   1 within	the	four
   1 within	a	translation
   1 within	a	day
   1 with	unique	domain
   1 with	two	best
   1 with	trt	it
   1 with	the	word
   1 with	the	test
   1 with	the	target
   1 with	the	second
   1 with	the	main
   1 with	the	high
   1 with	the	frequency
   1 with	the	confidence
   1 with	statistical	information
   1 with	plain	trt
   1 with	oov	words
   1 with	one	and
   1 with	low	translation
   1 with	inquery	s
   1 with	in	subsection
   1 with	fuzzy	matching--
   1 with	five	best
   1 with	fite-trt	is
   1 with	fite-trt	in
   1 with	english	being
   1 with	different	types
   1 with	different	orthographies
   1 with	clir	fite-trt
   1 with	cci	0
   1 with	a	rule
   1 with	a	confidence
   1 will	show	in
   1 will	be	applied
   1 wilcoxon	test	takes
   1 wilcoxon	signed	rank
   1 who	explored	the
   1 while	the	second
   1 while	the	overall
   1 while	the	other
   1 while	spanish-english	fite-trt
   1 while	precision	at
   1 while	fite	gave
   1 which	wrongly	increases
   1 which	were	removed
   1 which	were	much
   1 which	utaclir	s
   1 which	trt	yields
   1 which	trt	did
   1 which	there	are
   1 which	then	is
   1 which	suggests	that
   1 which	resulted	in
   1 which	reported	for
   1 which	only	handles
   1 which	may	be
   1 which	is	presented
   1 which	is	described
   1 which	indicates	the
   1 which	fite	identifies
   1 which	first	checks
   1 which	case	correct
   1 which	can	be
   1 which	a	search
   1 which	9	are
   1 whether	the	frequencies
   1 whether	indirect	translation
   1 where	words	not
   1 where	words	are
   1 where	trt	accidentally
   1 where	the	word
   1 where	the	target
   1 where	the	source
   1 where	the	oov
   1 where	the	highest
   1 where	native	spanish
   1 where	for	each
   1 where	equivalent	terms
   1 where	documents	were
   1 where	direct	translation
   1 where	automatic	translation
